,CPU Name,No. Sockets,Cores,Price,CPU Mark,CPU Value,Thread Mark,Thread Value,TDP (W),Power Performance,Test Date,Socket,Category
1352,AMD Ryzen Threadripper 7960X,1,24,"$1,379.54","83,077",60.22,"4,085",2.96,350,237.36,Dec 2023,sTR5,Desktop
1353,AMD Ryzen Threadripper 7970X,1,32,"$2,301.93","97,864",42.51,"4,149",1.80,350,279.61,Dec 2023,sTR5,Desktop
1354,AMD Ryzen Threadripper 7980X,1,64,"$4,703.41","134,187",28.53,"3,961",0.84,350,383.39,Nov 2023,sTR5,Desktop
1355,AMD Ryzen Threadripper PRO 3945WX,1,12,NA,"33,542",NA,"2,704",NA,280,119.79,Sep 2020,sWRX8,"Desktop, Server"
1356,AMD Ryzen Threadripper PRO 3955WX,1,16,$810.00,"40,291",49.74,"2,680",3.31,280,143.89,Sep 2020,sWRX8,"Desktop, Server"
1357,[Dual CPU] AMD Ryzen Threadripper PRO 3955WX,2,16,"$1,620.00","63,885",39.44,"2,439",NA,280,NA,Sep 2020,sWRX8,"Desktop, Server"
1358,AMD Ryzen Threadripper PRO 3975WX,1,32,"$2,075.00","62,545",30.14,"2,658",1.28,280,223.37,Oct 2020,sWRX8,"Desktop, Server"
1359,[Dual CPU] AMD Ryzen Threadripper PRO 3975WX,2,32,"$4,150.00","98,811",23.81,"2,676",NA,280,NA,Oct 2020,sWRX8,"Desktop, Server"
1360,AMD Ryzen Threadripper PRO 3995WX,1,64,"$1,499.00","83,697",55.84,"2,598",1.73,280,298.92,Sep 2020,sWRX8,"Desktop, Server"
1361,[Dual CPU] AMD Ryzen Threadripper PRO 3995WX,2,64,"$2,998.00","113,693",37.92,"2,559",NA,280,NA,Sep 2020,sWRX8,"Desktop, Server"
1362,AMD Ryzen Threadripper PRO 5945WX,1,12,NA,"40,579",NA,"3,354",NA,280,144.93,Mar 2022,sWRX8,"Desktop, Server"
1363,AMD Ryzen Threadripper PRO 5955WX,1,16,"$1,089.99","50,032",45.90,"3,341",3.07,280,178.69,Mar 2022,sWRX8,"Desktop, Server"
1364,AMD Ryzen Threadripper PRO 5965WX,1,24,"$1,599.99","66,732",41.71,"3,358",2.10,280,238.33,Mar 2022,sWRX8,"Desktop, Server"
1365,AMD Ryzen Threadripper PRO 5975WX,1,32,"$1,965.00","75,609",38.48,"3,314",1.69,280,270.03,Mar 2022,sWRX8,"Desktop, Server"
1366,AMD Ryzen Threadripper PRO 5995WX,1,64,"$4,100.00","93,192",22.73,"3,207",0.78,280,332.83,Mar 2022,sWRX8,"Desktop, Server"
1367,AMD Ryzen Threadripper PRO 7945WX,1,12,NA,"49,599",NA,"4,086",NA,350,141.71,Oct 2023,sTR5,Desktop
1368,AMD Ryzen Threadripper PRO 7955WX,1,16,NA,"59,759",NA,"4,078",NA,350,170.74,Oct 2023,sTR5,Desktop
1369,AMD Ryzen Threadripper PRO 7965WX,1,24,"$2,549.99","80,867",31.71,"3,927",1.54,350,231.05,Oct 2023,sTR5,Desktop
1370,AMD Ryzen Threadripper PRO 7975WX,1,32,"$3,899.00","95,247",24.43,"4,065",1.04,350,272.14,Oct 2023,sTR5,Desktop
1371,AMD Ryzen Threadripper PRO 7985WX,1,64,"$7,449.99","135,597",18.20,"3,998",0.54,350,387.42,Oct 2023,sTR5,Desktop
1372,AMD Ryzen Threadripper PRO 7995WX,1,96,"$9,999.99","154,202",15.42,"3,948",0.39,350,440.58,Oct 2023,sTR5,Desktop
1373,AMD Ryzen Z1,1,6,NA,"18,757",NA,"3,767",NA,30,625.22,Nov 2023,Unknown,Mobile/Embedded
1374,AMD Ryzen Z1 Extreme,1,8,NA,"25,060",NA,"3,597",NA,NA,NA,Jun 2023,Unknown,Mobile/Embedded
1375,AMD Sempron 130,1,1,$30.00*,511,17.03,"1,059",35.31,45,11.35,Apr 2012,AM2+/AM3,Unknown
1376,AMD Sempron 140,1,1,$11.95*,486,40.69,"1,037",86.81,45,10.81,Aug 2009,AM3,Desktop
1377,AMD Sempron 145,1,1,$39.99*,518,12.95,"1,015",25.38,45,11.51,Oct 2010,AM3,Desktop
1378,AMD Sempron 150,1,1,$14.95*,597,39.96,"1,117",74.71,45,13.27,Apr 2011,AM3,Desktop
1379,AMD Sempron 200U,1,1,$87.00*,125,1.43,311,3.57,8,15.58,May 2011,Unknown,Unknown
1380,AMD Sempron 210U,1,1,NA,267,NA,299,NA,15,17.83,Jul 2009,Unknown,Unknown
1381,AMD Sempron 2200+,1,1,$39.95*,184,4.60,279,6.99,NA,NA,Jan 2009,Socket A,Desktop
1382,AMD Sempron 2300+,1,1,$45.00*,207,4.60,314,6.98,NA,NA,Mar 2009,Socket A,Desktop
1383,AMD Sempron 240,1,2,$36.10*,"1,278",35.39,"1,300",36.02,65,19.66,Oct 2018,FM2,Desktop
1384,AMD Sempron 2400+,1,1,$12.99*,205,15.74,321,24.72,NA,NA,Dec 2008,Socket A,Desktop
1385,AMD Sempron 2500+,1,1,$59.95*,207,3.45,405,6.75,NA,NA,Mar 2009,Socket A,Desktop
1386,AMD Sempron 2600+,1,1,$34.95*,253,7.23,325,9.31,NA,NA,Dec 2008,Socket A,Desktop
1387,AMD Sempron 2650 APU,1,2,$94.69*,551,5.82,477,5.04,25,22.04,Apr 2014,"AM1,FSB1",Desktop
1388,AMD Sempron 2800+,1,1,$29.95*,243,8.11,408,13.63,62,3.92,Dec 2008,AM2,Desktop
1389,AMD Sempron 3000+,1,1,$34.95*,286,8.18,462,13.22,62,4.61,Dec 2008,AM2,Desktop
1390,AMD Sempron 3100+,1,1,$65.00*,298,4.58,383,5.89,62,4.80,Mar 2009,754,Desktop
1391,AMD Sempron 3200+,1,1,$124.68*,251,2.01,456,3.66,62,4.05,Jan 2009,AM2,Desktop
1392,AMD Sempron 3300+,1,1,$20.00*,315,15.74,394,19.68,62,5.08,Dec 2008,754,Desktop
1393,AMD Sempron 3400+,1,1,$86.68*,292,3.37,346,3.99,62,4.71,Dec 2008,AM2,Desktop
1394,AMD Sempron 3500+,1,1,$24.99*,232,9.28,264,10.56,62,3.74,Mar 2009,AM2,Desktop
1395,AMD Sempron 3600+,1,1,$15.00*,364,24.24,377,25.13,62,5.86,Mar 2009,AM2,Desktop
1396,AMD Sempron 3800+,1,1,$14.99*,360,24.03,422,28.17,62,5.81,Dec 2008,AM2,Desktop
1397,AMD Sempron 3850 APU,1,4,$47.57*,"1,150",24.16,448,9.41,25,45.98,Apr 2014,"AM1,FS1b",Desktop
1398,AMD Sempron Dual Core 2100,1,2,$37.99*,533,14.04,596,15.69,65,8.21,Mar 2009,Unknown,Unknown
1399,AMD Sempron Dual Core 2200,1,2,$39.95*,563,14.09,649,16.24,65,8.66,May 2009,Unknown,Unknown
1400,AMD Sempron Dual Core 2300,1,2,$41.99*,555,13.22,697,16.60,65,8.54,Sep 2009,Unknown,Unknown
1401,AMD Sempron LE-1100,1,1,$34.95*,315,9.02,509,14.56,45,7.01,Mar 2009,AM2,Desktop
1402,AMD Sempron LE-1150,1,1,$14.94*,251,16.82,477,31.92,45,5.59,Mar 2009,AM2,Desktop
1403,AMD Sempron LE-1200,1,1,$14.95*,349,23.32,551,36.89,45,7.75,Mar 2009,AM2,Desktop
1404,AMD Sempron LE-1250,1,1,$99.99*,301,3.01,508,5.08,45,6.68,Feb 2009,AM2,Desktop
1405,AMD Sempron LE-1300,1,1,$27.00*,417,15.44,614,22.74,45,9.26,May 2009,AM2,Desktop
1406,AMD Sempron M100,1,1,$12.00*,332,27.66,546,45.46,NA,NA,Nov 2009,Unknown,Unknown
1407,AMD Sempron M120,1,1,NA,247,NA,559,NA,25,9.86,Feb 2010,S1,Laptop
1408,AMD Sempron SI-40,1,1,$12.00*,288,24.02,631,52.58,25,11.53,Mar 2009,S1,Laptop
1409,AMD Sempron SI-42,1,1,$29.99*,245,8.15,637,21.25,25,9.78,Mar 2009,S1,Laptop
1410,AMD Sempron X2 180,1,2,$69.40*,826,11.90,865,12.47,45,18.35,Dec 2011,Unknown,Unknown
1411,AMD Sempron X2 190,1,2,$83.44*,879,10.53,977,11.71,45,19.53,Jun 2012,AM2+/AM3,Unknown
1412,AMD Sempron X2 198 Dual-Core,1,2,NA,930,NA,"1,070",NA,65,14.31,May 2015,FM1,Desktop
1413,AMD Turion 64 Mobile MK-36,1,1,NA,334,NA,735,NA,31,10.77,Jan 2009,S1,Laptop
1414,AMD Turion 64 Mobile MK-38,1,1,NA,362,NA,801,NA,31,11.69,Mar 2009,S1,Laptop
1415,AMD Turion 64 Mobile ML-28,1,1,NA,254,NA,314,NA,25,10.16,Mar 2009,754,Laptop
1416,AMD Turion 64 Mobile ML-30,1,1,NA,277,NA,314,NA,35,7.90,Mar 2009,754,Laptop
1417,AMD Turion 64 Mobile ML-32,1,1,NA,285,NA,321,NA,35,8.13,Dec 2008,754,Laptop
1418,AMD Turion 64 Mobile ML-34,1,1,NA,319,NA,526,NA,35,9.12,Feb 2009,754,Laptop
1419,AMD Turion 64 Mobile ML-37,1,1,$25.99*,334,12.86,510,19.61,35,9.55,Mar 2009,754,Laptop
1420,AMD Turion 64 Mobile ML-40,1,1,NA,336,NA,662,NA,35,9.61,Feb 2009,754,Laptop
1421,AMD Turion 64 Mobile ML-42,1,1,NA,400,NA,455,NA,35,11.43,May 2009,754,Laptop
1422,AMD Turion 64 Mobile ML-44,1,1,NA,384,NA,469,NA,35,10.98,Mar 2009,754,Laptop
1423,AMD Turion 64 Mobile MT-30,1,1,NA,246,NA,294,NA,25,9.85,Mar 2009,754,Laptop
1424,AMD Turion 64 Mobile MT-32,1,1,NA,286,NA,367,NA,24,11.92,Mar 2009,754,Laptop
1425,AMD Turion 64 Mobile MT-34,1,1,NA,279,NA,328,NA,24,11.62,Mar 2009,754,Laptop
1426,AMD Turion 64 Mobile MT-37,1,1,NA,274,NA,501,NA,25,10.97,Mar 2009,754,Laptop
1427,AMD Turion 64 X2 Mobile TL-50,1,2,$18.99*,474,24.97,541,28.49,31,15.30,Feb 2009,S1,Laptop
1428,AMD Turion 64 X2 Mobile TL-52,1,2,NA,534,NA,564,NA,31,17.24,Feb 2009,S1,Laptop
1429,AMD Turion 64 X2 Mobile TL-56,1,2,$65.40*,519,7.93,586,8.97,31,16.73,Feb 2009,S1,Laptop
1430,AMD Turion 64 X2 Mobile TL-58,1,2,NA,483,NA,574,NA,31,15.58,Feb 2009,S1,Laptop
1431,AMD Turion 64 X2 Mobile TL-60,1,2,$15.95*,639,40.06,703,44.05,31,20.61,Feb 2009,S1,Laptop
1432,AMD Turion 64 X2 Mobile TL-62,1,2,$29.00*,649,22.39,724,24.95,35,18.55,Mar 2009,S1,Laptop
1433,AMD Turion 64 X2 Mobile TL-64,1,2,$39.39*,675,17.14,702,17.81,35,19.29,Mar 2009,S1,Laptop
1434,AMD Turion 64 X2 Mobile TL-66,1,2,$89.00*,696,7.82,846,9.51,35,19.88,Apr 2009,S1,Laptop
1435,AMD Turion 64 X2 Mobile TL-68,1,2,$90.00*,866,9.62,882,9.80,35,24.75,Mar 2009,S1,Laptop
1436,AMD Turion Dual-Core RM-70,1,2,$25.00*,561,22.46,548,21.90,31,18.11,Dec 2008,S1,Laptop
1437,AMD Turion Dual-Core RM-72,1,2,$29.90*,649,21.69,725,24.23,35,18.53,Feb 2009,S1,Laptop
1438,AMD Turion Dual-Core RM-74,1,2,NA,588,NA,595,NA,35,16.80,Jan 2014,S1,Laptop
1439,AMD Turion Dual-Core RM-75,1,2,$21.49*,659,30.65,444,20.67,35,18.82,Aug 2009,S1,Laptop
1440,AMD Turion II Dual-Core Mobile M500,1,2,NA,756,NA,847,NA,35,21.61,Oct 2009,S1,Laptop
1441,AMD Turion II Dual-Core Mobile M520,1,2,$69.10*,844,12.21,923,13.36,35,24.12,Oct 2009,S1,Laptop
1442,AMD Turion II Dual-Core Mobile M540,1,2,NA,912,NA,967,NA,35,26.05,Aug 2011,S1,Laptop
1443,AMD Turion II N530 Dual-Core,1,2,$30.00*,855,28.51,968,32.27,35,24.44,Jun 2010,S1,Laptop
1444,AMD Turion II N550 Dual-Core,1,2,NA,877,NA,891,NA,35,25.05,Mar 2011,S1,Laptop
1445,AMD Turion II Neo K625 Dual-Core,1,2,NA,618,NA,631,NA,15,41.21,Jun 2010,S1,Laptop
1446,AMD Turion II Neo K685 Dual-Core,1,2,NA,684,NA,729,NA,15,45.60,Jan 2011,BGA812,Laptop
1447,AMD Turion II Neo N40L Dual-Core,1,2,NA,617,NA,635,NA,15,41.17,Dec 2011,BGA812,Laptop
1448,AMD Turion II Neo N54L Dual-Core,1,2,NA,853,NA,894,NA,25,34.14,Oct 2011,BGA812,Laptop
1449,AMD Turion II P520 Dual-Core,1,2,NA,801,NA,875,NA,25,32.04,Jun 2010,S1,Laptop
1450,AMD Turion II P540 Dual-Core,1,2,$49.95*,"1,021",20.45,957,19.16,35,29.18,Sep 2010,S1,Laptop
1451,AMD Turion II P560 Dual-Core,1,2,NA,878,NA,"1,001",NA,25,35.14,Jan 2011,S1,Laptop
1452,AMD Turion II Ultra Dual-Core Mobile M600,1,2,$16.76*,955,56.97,987,58.92,35,27.28,Oct 2009,S1,Laptop
1453,AMD Turion II Ultra Dual-Core Mobile M620,1,2,NA,814,NA,945,NA,35,23.25,Feb 2010,S1,Laptop
1454,AMD Turion II Ultra Dual-Core Mobile M640,1,2,NA,"1,034",NA,"1,067",NA,35,29.54,Nov 2009,S1,Laptop
1455,AMD Turion II Ultra Dual-Core Mobile M660,1,2,NA,"1,011",NA,"1,103",NA,35,28.90,Mar 2010,S1,Laptop
1456,AMD Turion Neo X2 Dual Core L625,1,2,NA,432,NA,486,NA,18,23.97,Jun 2009,ASB1,Laptop
1457,AMD Turion X2 Dual Core L510,1,2,NA,603,NA,593,NA,20,30.13,Jul 2010,ASB1,Laptop
1458,AMD Turion X2 Dual Core Mobile RM-70,1,2,$132.56*,497,3.75,504,3.80,31,16.02,Nov 2009,S1,Laptop
1459,AMD Turion X2 Dual Core Mobile RM-76,1,2,NA,691,NA,729,NA,35,19.76,Sep 2009,S1,Laptop
1460,AMD Turion X2 Dual-Core Mobile RM-70,1,2,NA,612,NA,672,NA,31,19.74,Mar 2009,S1,Laptop
1461,AMD Turion X2 Dual-Core Mobile RM-72,1,2,$224.26*,653,2.91,756,3.37,35,18.67,Nov 2008,S1,Laptop
1462,AMD Turion X2 Dual-Core Mobile RM-74,1,2,$14.95*,655,43.83,738,49.35,35,18.72,Apr 2009,S1,Laptop
1463,AMD Turion X2 Dual-Core Mobile RM-75,1,2,NA,708,NA,770,NA,35,20.23,May 2009,S1,Laptop
1464,AMD Turion X2 Dual-Core Mobile RM-76,1,2,NA,799,NA,761,NA,35,22.82,Dec 2023,S1,Laptop
1465,AMD Turion X2 Dual-Core Mobile RM-77,1,2,NA,562,NA,735,NA,35,16.06,Jul 2009,S1,Laptop
1466,AMD Turion X2 Ultra Dual-Core Mobile ZM-80,1,2,$49.95*,506,10.14,618,12.37,32,15.83,Mar 2009,S1,Laptop
1467,AMD Turion X2 Ultra Dual-Core Mobile ZM-82,1,2,NA,733,NA,770,NA,35,20.94,Feb 2009,S1,Laptop
1468,AMD Turion X2 Ultra Dual-Core Mobile ZM-84,1,2,$49.95*,802,16.05,787,15.76,35,22.90,Feb 2009,S1,Laptop
1469,AMD Turion X2 Ultra Dual-Core Mobile ZM-85,1,2,$45.00*,828,18.39,864,19.20,35,23.65,Aug 2009,S1,Laptop
1470,AMD Turion X2 Ultra Dual-Core Mobile ZM-86,1,2,$61.00*,695,11.39,820,13.44,35,19.84,Apr 2009,S1,Laptop
1471,AMD Turion X2 Ultra Dual-Core Mobile ZM-87,1,2,$39.95*,741,18.56,730,18.28,35,21.18,Apr 2009,S1,Laptop
1472,AMD TurionX2 Dual Core Mobile RM-70,1,2,NA,536,NA,674,NA,31,17.28,Feb 2009,S1,Laptop
1473,AMD TurionX2 Dual Core Mobile RM-72,1,2,NA,471,NA,392,NA,35,13.46,Apr 2009,S1,Laptop
1474,AMD TurionX2 Ultra DualCore Mobile ZM-85,1,2,NA,841,NA,686,NA,35,24.03,Feb 2014,S1,Laptop
1475,AMD TurionX2 Ultra DualCore Mobile ZM-87,1,2,NA,599,NA,770,NA,35,17.13,Jan 2022,S1,Mobile/Embedded
1476,AMD V105,1,1,NA,184,NA,452,NA,9,20.43,Oct 2010,BGA812,Laptop
1477,AMD V120,1,1,NA,352,NA,806,NA,25,14.08,Jun 2010,S1,Laptop
1478,AMD V140,1,1,$39.95*,422,10.57,860,21.52,25,16.89,Oct 2010,S1,Laptop
1479,AMD V160,1,1,NA,337,NA,838,NA,25,13.50,Jan 2011,S1,Laptop
1480,AMD Z-01,1,2,NA,305,NA,294,NA,NA,NA,Dec 2011,Unknown,Unknown
1481,AMD Z-60 APU,1,2,NA,262,NA,318,NA,4.5,58.26,Mar 2013,FT1,Laptop
1482,Amlogic,1,4,NA,638,NA,458,NA,NA,NA,Feb 2021,Unknown,Unknown
1483,Amlogic AMLS905D3,1,4,NA,815,NA,493,NA,NA,NA,Jul 2024,Unknown,Mobile/Embedded
1484,Amlogic AMLS905X4,1,4,NA,827,NA,555,NA,NA,NA,Aug 2024,Unknown,Mobile/Embedded
1485,Amlogic AMLT982,1,4,NA,972,NA,531,NA,NA,NA,Jan 2024,Unknown,Mobile/Embedded
1486,Ampere ARM - 192 Core 3200 MHz,1,192,NA,"57,444",NA,"1,228",NA,NA,NA,May 2024,Unknown,Server
1487,ap201,1,4,NA,565,NA,385,NA,NA,NA,Dec 2023,Unknown,Mobile/Embedded
1488,Apple A11 Bionic,1,6,NA,"4,414",NA,"1,321",NA,NA,NA,Feb 2021,Unknown,Mobile/Embedded
1489,Apple A12 Bionic,1,6,NA,"4,970",NA,"1,985",NA,NA,NA,Feb 2021,Unknown,Mobile/Embedded
1490,Apple A12X Bionic,1,8,NA,"11,029",NA,"2,651",NA,NA,NA,Feb 2021,Unknown,Mobile/Embedded
1491,Apple A12Z Bionic,1,8,NA,"9,365",NA,"2,202",NA,NA,NA,Feb 2021,Unknown,Mobile/Embedded
1492,Apple A13 Bionic,1,6,NA,"5,700",NA,"2,326",NA,NA,NA,Feb 2021,Unknown,Mobile/Embedded
1493,Apple A14 Bionic,1,6,NA,"8,545",NA,"3,393",NA,NA,NA,Feb 2021,Unknown,Mobile/Embedded
1494,Apple A15 Bionic,1,6,NA,"9,905",NA,"3,603",NA,NA,NA,Sep 2021,Unknown,Mobile/Embedded
1495,Apple A16 Bionic,1,6,NA,"11,083",NA,"4,079",NA,NA,NA,Sep 2022,Unknown,Mobile/Embedded
1496,Apple A17 Pro,1,6,NA,"12,255",NA,"4,538",NA,NA,NA,Sep 2023,Unknown,Mobile/Embedded
1497,Apple A8,1,2,NA,"1,515",NA,914,NA,NA,NA,Feb 2021,Unknown,Mobile/Embedded
1498,Apple A8X,1,3,NA,"2,376",NA,933,NA,NA,NA,Feb 2021,Unknown,Mobile/Embedded
1499,Apple A9,1,2,NA,"2,068",NA,"1,187",NA,NA,NA,Feb 2021,Unknown,Mobile/Embedded
1500,Apple A9X,1,2,NA,"2,516",NA,"1,510",NA,NA,NA,Feb 2021,Unknown,Mobile/Embedded
1501,Apple M1 8 Core 3200 MHz,1,8,NA,"14,168",NA,"3,693",NA,15.1,938.26,Feb 2021,Unknown,"Desktop, Laptop, Mobile/Embedded"
1502,Apple M1 Max 10 Core 3200 MHz,1,10,NA,"22,063",NA,"3,837",NA,NA,NA,Oct 2021,Unknown,"Desktop, Laptop"
1503,Apple M1 Pro 10 Core 3200 MHz,1,10,NA,"21,869",NA,"3,807",NA,NA,NA,Oct 2021,Unknown,"Desktop, Laptop"
1504,Apple M1 Pro 8 Core 3200 MHz,1,8,NA,"17,176",NA,"3,769",NA,NA,NA,Oct 2021,Unknown,"Desktop, Laptop"
1505,Apple M1 Ultra 20 Core,1,20,NA,"41,167",NA,"3,869",NA,60,686.12,Mar 2022,Unknown,Desktop
1506,Apple M2 8 Core 3500 MHz,1,8,NA,"15,535",NA,"3,908",NA,NA,NA,Jul 2022,Unknown,"Desktop, Laptop"
1507,Apple M2 Max 12 Core 3680 MHz,1,12,NA,"26,579",NA,"4,143",NA,NA,NA,Jan 2023,Unknown,Laptop
1508,Apple M2 Pro 10 Core 3480 MHz,1,10,NA,"21,709",NA,"4,101",NA,NA,NA,Jan 2023,Unknown,"Desktop, Laptop"
1509,Apple M2 Pro 12 Core 3480 MHz,1,12,NA,"26,487",NA,"4,105",NA,NA,NA,Jan 2023,Unknown,Laptop
1510,Apple M2 Ultra 24 Core,1,24,NA,"50,170",NA,"4,193",NA,NA,NA,Jun 2023,Unknown,Desktop
1511,Apple M3 8 Core,1,8,NA,"19,359",NA,"4,792",NA,20,967.95,Nov 2023,Unknown,"Desktop, Laptop, Mobile/Embedded"
1512,Apple M3 Max 14 Core,1,14,NA,"36,453",NA,"4,766",NA,78,467.34,Nov 2023,Unknown,Laptop
1513,Apple M3 Max 16 Core,1,16,NA,"40,779",NA,"4,781",NA,78,522.80,Nov 2023,Unknown,Laptop
1514,Apple M3 Pro 11 Core,1,11,NA,"24,782",NA,"4,756",NA,27,917.85,Nov 2023,Unknown,Laptop
1515,Apple M3 Pro 12 Core,1,12,NA,"26,617",NA,"4,601",NA,27,985.80,Nov 2023,Unknown,Laptop
1516,Apple M4 10 Core,1,10,NA,"25,029",NA,"4,463",NA,NA,NA,May 2024,Unknown,Mobile/Embedded
1517,Apple M4 9 Core,1,9,NA,"22,360",NA,"4,495",NA,NA,NA,May 2024,Unknown,Mobile/Embedded
1518,ARM - 32 Core 2911 MHz,1,32,NA,"8,132",NA,541,NA,NA,NA,Dec 2023,Unknown,Mobile/Embedded
1519,ARM - 32 Core 3300 MHz,1,32,NA,"8,684",NA,585,NA,NA,NA,Dec 2023,Unknown,Mobile/Embedded
1520,ARM - 8 Core 1766 MHz,1,8,NA,"4,080",NA,"1,205",NA,NA,NA,Oct 2022,Unknown,Mobile/Embedded
1521,ARM - 8 Core 1800 MHz,1,8,NA,"3,292",NA,"1,016",NA,NA,NA,Aug 2024,Unknown,Unknown
1522,ARM - 8 Core 2208 MHz,1,8,NA,"2,270",NA,607,NA,NA,NA,Aug 2024,Unknown,Unknown
1523,ARM - 8 Core 2424 MHz,1,8,NA,"8,610",NA,"3,083",NA,NA,NA,Mar 2023,Unknown,Mobile/Embedded
1524,ARM ARMv7 rev 1 (v7l) 4 Core 1608 MHz,1,4,NA,776,NA,445,NA,NA,NA,Aug 2024,Unknown,Unknown
1525,ARM ARMv7 rev 1 (v7l) 4 Core 1800 MHz,1,4,NA,843,NA,487,NA,NA,NA,Oct 2023,Unknown,Mobile/Embedded
1526,ARM ARMv7 rev 3 (v7l) 4 Core 2065 MHz,1,4,NA,984,NA,593,NA,NA,NA,Nov 2021,Unknown,Mobile/Embedded
1527,ARM ARMv7 rev 4 (v7l) 4 Core 1200 MHz,1,4,NA,403,NA,272,NA,NA,NA,Jan 2021,Unknown,Mobile/Embedded
1528,ARM ARMv7 rev 4 (v7l) 4 Core 1400 MHz,1,4,NA,399,NA,273,NA,NA,NA,Apr 2022,Unknown,Mobile/Embedded
1529,ARM ARMv7 rev 5 (v7l) 4 Core 1200 MHz,1,4,NA,325,NA,232,NA,NA,NA,Jul 2024,Unknown,Unknown
1530,[3-Way CPU] ARM ARMv8 rev 0 (v8l) 6 Core 1907 MHz,3,6,NA,"3,477",NA,697,NA,NA,NA,Mar 2021,Unknown,Mobile/Embedded
1531,[3-Way CPU] ARM ARMv8 rev 1 (v8l) 12 Core 2201 MHz,3,12,NA,"7,371",NA,"1,183",NA,NA,NA,Jun 2022,Unknown,Mobile/Embedded
1532,ARM ARMv8 rev 1 (v8l) 4 Core 1984 MHz,1,4,NA,"1,312",NA,632,NA,NA,NA,Apr 2024,Unknown,Mobile/Embedded
1533,ARM ARMv8 rev 1 (v8l) 6 Core 1510 MHz,1,6,NA,"2,550",NA,807,NA,NA,NA,May 2023,Unknown,Mobile/Embedded
1534,ARM Avalanche-M2 4 Core 2424 MHz,1,4,NA,"8,233",NA,"3,290",NA,NA,NA,Apr 2024,Unknown,Mobile/Embedded
1535,ARM Cortex-A15 4 Core 1400 MHz,1,4,NA,"1,141",NA,543,NA,NA,NA,Jun 2023,Unknown,Mobile/Embedded
1536,ARM Cortex-A15 4 Core 1500 MHz,1,4,NA,"1,304",NA,594,NA,NA,NA,Jun 2023,Unknown,Mobile/Embedded
1537,ARM Cortex-A15 4 Core 2000 MHz,1,4,NA,923,NA,524,NA,NA,NA,Mar 2023,Unknown,Mobile/Embedded
1538,ARM Cortex-A15 8 Core 1400 MHz,1,8,NA,"1,160",NA,563,NA,NA,NA,Oct 2022,Unknown,Mobile/Embedded
1539,ARM Cortex-A17 4 Core 1800 MHz,1,4,NA,781,NA,490,NA,NA,NA,Oct 2021,Unknown,Mobile/Embedded
1540,ARM Cortex-A35 4 Core 1200 MHz,1,4,NA,329,NA,157,NA,NA,NA,Oct 2022,Unknown,Mobile/Embedded
1541,ARM Cortex-A35 4 Core 1296 MHz,1,4,NA,334,NA,166,NA,NA,NA,Jan 2022,Unknown,Mobile/Embedded
1542,ARM Cortex-A53 4 Core 1000 MHz,1,4,NA,215,NA,169,NA,NA,NA,Nov 2022,Unknown,Mobile/Embedded
1543,ARM Cortex-A53 4 Core 1008 MHz,1,4,NA,310,NA,132,NA,NA,NA,Sep 2023,Unknown,Mobile/Embedded
1544,ARM Cortex-A53 4 Core 1152 MHz,1,4,NA,342,NA,151,NA,NA,NA,Feb 2021,Unknown,Mobile/Embedded
1545,ARM Cortex-A53 4 Core 1199 MHz,1,4,NA,407,NA,178,NA,NA,NA,May 2023,Unknown,Mobile/Embedded
1546,ARM Cortex-A53 4 Core 1200 MHz,1,4,NA,288,NA,204,NA,NA,NA,Feb 2021,Unknown,Mobile/Embedded
1547,ARM Cortex-A53 4 Core 1296 MHz,1,4,NA,416,NA,183,NA,NA,NA,Feb 2021,Unknown,Mobile/Embedded
1548,ARM Cortex-A53 4 Core 1300 MHz,1,4,NA,438,NA,262,NA,NA,NA,Nov 2023,Unknown,Mobile/Embedded
1549,ARM Cortex-A53 4 Core 1333 MHz,1,4,NA,207,NA,196,NA,NA,NA,May 2023,Unknown,Mobile/Embedded
1550,ARM Cortex-A53 4 Core 1368 MHz,1,4,NA,385,NA,166,NA,NA,NA,Jan 2023,Unknown,Mobile/Embedded
1551,ARM Cortex-A53 4 Core 1392 MHz,1,4,NA,417,NA,193,NA,NA,NA,Nov 2021,Unknown,Mobile/Embedded
1552,ARM Cortex-A53 4 Core 1400 MHz,1,4,NA,298,NA,228,NA,NA,NA,Feb 2021,Unknown,Mobile/Embedded
1553,ARM Cortex-A53 4 Core 1500 MHz,1,4,NA,340,NA,197,NA,NA,NA,Aug 2022,Unknown,Mobile/Embedded
1554,ARM Cortex-A53 4 Core 1512 MHz,1,4,NA,471,NA,213,NA,NA,NA,Mar 2021,Unknown,Mobile/Embedded
1555,ARM Cortex-A53 4 Core 1536 MHz,1,4,NA,213,NA,198,NA,NA,NA,May 2021,Unknown,Mobile/Embedded
1556,ARM Cortex-A53 4 Core 1600 MHz,1,4,NA,453,NA,210,NA,NA,NA,Jan 2022,Unknown,Mobile/Embedded
1557,ARM Cortex-A53 4 Core 1608 MHz,1,4,NA,462,NA,218,NA,NA,NA,Jan 2024,Unknown,Mobile/Embedded
1558,ARM Cortex-A53 4 Core 1704 MHz,1,4,NA,556,NA,244,NA,NA,NA,Sep 2022,Unknown,Mobile/Embedded
1559,ARM Cortex-A53 4 Core 1800 MHz,1,4,NA,513,NA,237,NA,NA,NA,Feb 2021,Unknown,Mobile/Embedded
