,CPU Name,No. Sockets,Cores,Price,CPU Mark,CPU Value,Thread Mark,Thread Value,TDP (W),Power Performance,Test Date,Socket,Category
53,AMD A4 Micro-6400T APU,1,4,NA,"1,082",NA,540,NA,4.5,240.51,Nov 2014,FT3b,Laptop
54,AMD A4 PRO-3340B,1,4,NA,"1,645",NA,676,NA,25,65.79,Nov 2015,BGA769 (FT3),Laptop
55,AMD A4 PRO-7300B APU,1,1,NA,"1,458",NA,"1,445",NA,65,22.43,Dec 2014,Unknown,Desktop
56,AMD A4 PRO-7350B,1,1,NA,"1,544",NA,"1,438",NA,65,23.75,Dec 2014,FM2+,Desktop
57,AMD A4-1200 APU,1,2,NA,369,NA,303,NA,3.9,94.69,Oct 2013,FT3,Laptop
58,AMD A4-1250 APU,1,2,NA,406,NA,329,NA,8,50.78,Jul 2013,FT3,Laptop
59,AMD A4-1350 APU,1,4,NA,911,NA,345,NA,8,113.91,Apr 2024,FT3,Laptop
60,AMD A4-3300 APU,1,2,$56.61,942,16.65,973,17.18,65,14.50,Nov 2011,FM1,Desktop
61,AMD A4-3300M APU,1,2,$29.99*,714,23.81,790,26.33,65,10.99,Jul 2011,FM1,Laptop
62,AMD A4-3305M APU,1,2,$20.81*,758,36.44,837,40.23,35,21.67,Feb 2012,FS1,Laptop
63,AMD A4-3310MX APU,1,2,NA,782,NA,832,NA,45,17.38,Oct 2011,FS1,Laptop
64,AMD A4-3320M APU,1,2,$39.00*,668,17.12,708,18.16,35,19.07,Mar 2012,FS1,Laptop
65,AMD A4-3330MX APU,1,2,NA,756,NA,908,NA,45,16.80,Mar 2013,FS1 uPGA,Laptop
66,AMD A4-3400 APU,1,2,$79.95,"1,086",13.58,"1,082",13.54,65,16.71,Sep 2011,FM1,Desktop
67,AMD A4-3420 APU,1,2,$136.00*,"1,054",7.75,"1,113",8.18,65,16.21,Jan 2012,FM1,Desktop
68,AMD A4-4000 APU,1,1,$19.95*,"1,143",57.32,"1,134",56.86,65,17.59,May 2013,FM2,Desktop
69,AMD A4-4020 APU,1,2,$105.37*,"1,268",12.04,"1,220",11.58,65,19.51,Jul 2014,FM2,Desktop
70,AMD A4-4300M APU,1,1,$29.86*,"1,000",33.48,"1,014",33.94,35,28.56,May 2012,FS1,Laptop
71,AMD A4-4355M APU,1,2,NA,806,NA,813,NA,17,47.41,Dec 2012,FP2,Laptop
72,AMD A4-5000 APU,1,4,NA,"1,297",NA,508,NA,15,86.44,Aug 2013,FT3,Laptop
73,AMD A4-5050 APU,1,4,NA,"1,328",NA,538,NA,13.5,98.37,May 2017,FT3,Laptop
74,AMD A4-5100 APU,1,4,NA,"1,346",NA,540,NA,15,89.72,Jul 2015,FT3,Laptop
75,AMD A4-5150M APU,1,2,NA,765,NA,800,NA,35,21.85,Jul 2013,FS1r2,Laptop
76,AMD A4-5300 APU,1,2,$26.95*,"1,365",50.63,"1,336",49.57,65,20.99,Oct 2012,FM2,Desktop
77,AMD A4-5300B APU,1,2,$25.95*,"1,243",47.89,"1,233",47.51,65,19.12,Dec 2012,FM2,Desktop
78,AMD A4-6210 APU,1,4,NA,"1,499",NA,610,NA,15,99.95,Jul 2014,FT3b,Laptop
79,AMD A4-6250J APU,1,4,NA,"1,656",NA,698,NA,25,66.25,Dec 2014,Unknown,"Laptop, Mobile/Embedded"
80,AMD A4-6300 APU,1,1,$42.02,"1,426",33.93,"1,403",33.39,65,21.93,Nov 2013,FM2,Desktop
81,AMD A4-6300B APU,1,1,$27.95*,"1,328",47.51,"1,373",49.12,65,20.43,Dec 2013,Unknown,Desktop
82,AMD A4-6320 APU,1,1,$69.99*,"1,530",21.86,"1,529",21.84,65,23.54,Apr 2014,FM2,Desktop
83,AMD A4-7210 APU,1,4,NA,"1,656",NA,725,NA,25,66.24,Jul 2015,BGA,Laptop
84,AMD A4-7300 APU,1,1,$18.47*,"1,529",82.79,"1,477",79.96,65,23.52,Sep 2014,FM2,Desktop
85,AMD A4-9120,1,2,NA,"1,224",NA,"1,046",NA,15,81.62,Sep 2017,BGA,Laptop
86,AMD A4-9120C,1,2,NA,852,NA,891,NA,6,141.93,Aug 2019,FT4,Laptop
87,AMD A4-9120e,1,2,NA,849,NA,743,NA,NA,NA,Jun 2019,FT4,Laptop
88,AMD A4-9125,1,2,NA,"1,210",NA,"1,041",NA,15,80.66,Nov 2018,BGA (FT4),Laptop
89,AMD A6 Micro-6500T APU,1,4,NA,"1,146",NA,630,NA,NA,NA,Jan 2016,Unknown,Laptop
90,AMD A6 PRO-7050B APU,1,2,NA,"1,009",NA,875,NA,17,59.34,Sep 2014,FP3,Laptop
91,AMD A6 PRO-7400B,1,1,NA,"1,696",NA,"1,505",NA,65,26.09,Dec 2014,FM2+,Desktop
92,AMD A6-1450 APU,1,4,NA,"1,045",NA,458,NA,8,130.62,May 2013,FT3,Laptop
93,AMD A6-3400M APU,1,4,$24.45*,"1,191",48.69,691,28.27,35,34.02,Jun 2011,FS1,Laptop
94,AMD A6-3410MX APU,1,4,$3.99*,"1,263",316.44,732,183.53,45,28.06,Jul 2011,FS1,Laptop
95,AMD A6-3420M APU,1,4,NA,"1,294",NA,773,NA,35,36.96,Jan 2012,FS1,Laptop
96,AMD A6-3430MX APU,1,4,NA,"1,448",NA,822,NA,45,32.18,Feb 2012,FS1,Laptop
97,AMD A6-3500 APU,1,3,$60.23,"1,420",23.58,963,15.99,65,21.85,Sep 2011,FM1,Desktop
98,AMD A6-3600 APU,1,4,$24.95*,"1,697",68.02,909,36.44,65,26.11,Nov 2011,FM1,Desktop
99,AMD A6-3620 APU,1,4,$22.49*,"1,851",82.30,985,43.79,65,28.48,Feb 2012,FM1,Desktop
100,AMD A6-3650 APU,1,4,$128.00*,"2,070",16.17,"1,038",8.11,100,20.70,Jul 2011,FM1,Desktop
101,AMD A6-3670 APU,1,4,$54.95*,"2,171",39.52,"1,144",20.82,100,21.71,Jan 2012,FM1,Desktop
102,AMD A6-4400M APU,1,1,$24.95,"1,010",40.49,"1,027",41.15,35,28.86,Apr 2012,FS1r2,Laptop
103,AMD A6-4455M APU,1,1,NA,793,NA,786,NA,17,46.64,Jul 2012,FP2,Laptop
104,AMD A6-5200 APU,1,4,NA,"1,665",NA,664,NA,25,66.61,Jul 2013,FT3,Laptop
105,AMD A6-5345M APU,1,2,NA,"1,122",NA,"1,094",NA,17,65.97,Apr 2014,FP2,Laptop
106,AMD A6-5350M APU,1,2,$33.12*,"1,232",37.18,"1,236",37.31,35,35.19,Jul 2013,FS1r2,Laptop
107,AMD A6-5357M APU,1,2,NA,"1,165",NA,"1,243",NA,35,33.30,Oct 2013,FP2,Laptop
108,AMD A6-5400B APU,1,1,$28.94*,"1,459",50.43,"1,408",48.64,65,22.45,Nov 2013,FM2,Desktop
109,AMD A6-5400K APU,1,1,$52.02*,"1,270",24.42,"1,272",24.45,65,19.54,Oct 2012,FM2,Desktop
110,AMD A6-6310 APU,1,4,NA,"1,675",NA,741,NA,15,111.65,Jul 2014,FT3,Laptop
111,AMD A6-6400B APU,1,1,NA,"1,616",NA,"1,608",NA,65,24.85,Feb 2014,FM2,Desktop
112,AMD A6-6400K APU,1,1,$75.00*,"1,501",20.02,"1,449",19.33,65,23.10,Jul 2013,FM2,Desktop
113,AMD A6-6420B APU,1,1,NA,"1,550",NA,"1,629",NA,65,23.84,Nov 2014,FM2,Desktop
114,AMD A6-6420K APU,1,2,$149.99*,"1,576",10.51,"1,553",10.35,65,24.24,Oct 2014,FM2,Desktop
115,AMD A6-7000,1,2,NA,"1,010",NA,857,NA,17,59.40,Feb 2015,FP3,Laptop
116,AMD A6-7310 APU,1,4,NA,"1,724",NA,775,NA,25,68.96,Jun 2015,Unknown,Laptop
117,AMD A6-7400K APU,1,2,$85.23,"1,634",19.17,"1,440",16.90,65,25.13,Oct 2014,FM2+,Desktop
118,AMD A6-7470K,1,1,$89.00,"1,799",20.22,"1,576",17.71,65,27.68,May 2016,FM2+,Desktop
119,AMD A6-7480,1,2,$34.82*,"1,836",52.72,"1,558",44.76,65,28.24,Apr 2019,FM2+,Desktop
120,AMD A6-8500P,1,2,NA,"1,445",NA,"1,253",NA,15,96.32,May 2016,BGA (FP4),Laptop
121,AMD A6-8550,1,2,NA,"1,604",NA,"1,474",NA,65,24.68,Nov 2015,FM2+,Desktop
122,AMD A6-9200,1,2,NA,"1,116",NA,970,NA,10,111.55,Mar 2018,BGA,Laptop
123,AMD A6-9210,1,2,NA,"1,230",NA,"1,076",NA,15,82.02,Jul 2016,FP4,Laptop
124,AMD A6-9220,1,2,NA,"1,280",NA,"1,135",NA,15,85.32,Aug 2017,Unknown,Laptop
125,AMD A6-9220C,1,2,NA,"1,053",NA,995,NA,6,175.46,May 2019,FT4,Laptop
126,AMD A6-9220e,1,2,NA,977,NA,863,NA,NA,NA,Feb 2018,Unknown,Laptop
127,AMD A6-9225,1,2,NA,"1,329",NA,"1,157",NA,15,88.57,Aug 2018,BGA (FT4),Laptop
128,AMD A6-9230,1,2,NA,"1,303",NA,"1,124",NA,15,86.86,Aug 2017,Unknown,Desktop
129,AMD A6-9400,1,2,NA,"2,717",NA,"1,664",NA,10,271.70,Nov 2019,FT4,Laptop
130,AMD A6-9500,1,2,$50.00,"1,869",37.38,"1,624",32.49,65,28.75,Dec 2016,AM4,Desktop
131,AMD A6-9500E,1,2,$57.36*,"1,756",30.61,"1,347",23.48,35,50.17,Oct 2018,AM4,Desktop
132,AMD A8 PRO-7150B APU,1,4,NA,"1,528",NA,763,NA,19,80.45,Jul 2014,FP3,Laptop
133,AMD A8 PRO-7600B APU,1,4,NA,"2,962",NA,"1,387",NA,65,45.57,Sep 2014,FM2+,Desktop
134,AMD A8-3500M APU,1,4,$59.95*,"1,400",23.36,813,13.56,35,40.01,Jul 2011,FS1,Laptop
135,AMD A8-3510MX APU,1,4,$77.11*,"1,614",20.93,890,11.54,45,35.87,Aug 2011,FS1,Laptop
136,AMD A8-3520M APU,1,4,$55.00*,"1,448",26.33,845,15.36,35,41.37,Jan 2012,FS1,Laptop
137,AMD A8-3530MX APU,1,4,NA,"1,608",NA,938,NA,45,35.74,Jul 2011,FS1,Laptop
138,AMD A8-3550MX APU,1,4,NA,"1,687",NA,962,NA,45,37.50,Mar 2012,FS1,Laptop
139,AMD A8-3800 APU,1,4,$109.95*,"2,049",18.63,"1,068",9.71,65,31.52,Sep 2011,FM1,Desktop
140,AMD A8-3820 APU,1,4,$44.95*,"2,174",48.36,"1,131",25.16,65,33.44,Jan 2012,FM1,Desktop
141,AMD A8-3850 APU,1,4,$68.02*,"2,374",34.90,"1,214",17.84,100,23.74,Jun 2011,FM1,Desktop
142,AMD A8-3870K APU,1,4,$68.04*,"2,319",34.08,"1,210",17.78,100,23.19,Dec 2011,FM1,Desktop
143,AMD A8-4500M APU,1,2,$48.02,"1,683",35.05,919,19.14,35,48.08,May 2012,FS1r2,Laptop
144,AMD A8-4555M APU,1,2,NA,"1,331",NA,789,NA,19,70.03,Oct 2012,FP2,Laptop
145,AMD A8-5500 APU,1,2,$58.95*,"2,610",44.27,"1,336",22.66,65,40.15,Jun 2012,FM2,Desktop
146,AMD A8-5500B APU,1,2,$49.04*,"2,612",53.27,"1,327",27.06,65,40.19,Mar 2013,FM2,Desktop
147,AMD A8-5545M APU,1,4,NA,"1,567",NA,832,NA,19,82.49,Aug 2013,FP2,Laptop
148,AMD A8-5550M APU,1,4,NA,"1,862",NA,"1,036",NA,35,53.21,Jul 2013,FS1r2,Laptop
149,AMD A8-5557M APU,1,4,NA,"1,801",NA,"1,037",NA,35,51.45,Jul 2013,FP2,Laptop
150,AMD A8-5600K APU,1,4,$69.01,"2,854",41.36,"1,430",20.72,100,28.54,Oct 2012,FM2,Desktop
151,AMD A8-6410 APU,1,4,NA,"1,771",NA,783,NA,15,118.08,Jun 2014,BGA769 (FT3b),Laptop
