Intel Celeron @ 1.30GHz,1,572,610,NA,NA,Mobile/Embedded
Intel Pentium T2410 @ 2.00GHz,2,566,712,NA,NA,Mobile/Embedded
AMD Athlon X2 Dual Core 6850e,2,564,623,22,NA,Desktop
AMD Sempron Dual Core 2200,2,563,649,65,NA,Desktop
AMD Athlon Neo X2 Dual Core L325,2,556,567,18,NA,Desktop
AMD Sempron Dual Core 2300,2,555,697,65,NA,Desktop
Intel T1400 @ 1.73GHz,2,548,648,NA,NA,Mobile/Embedded
Intel T1500 @ 1.86GHz,2,548,661,NA,NA,Mobile/Embedded
AMD Sempron Dual Core 2100,2,533,596,65,NA,Desktop
AMD Athlon Neo X2 Dual Core L335,2,529,570,18,NA,Laptop
Intel T2050 @ 2.00GHz,2,516,611,31,NA,Mobile/Embedded
AMD Sempron 130,1,511,1059,45,NA,Desktop
AMD Athlon Neo X2 Dual Core 6850e,2,456,566,22,NA,Laptop
Sony Mobile fusion3,4,428,234,NA,NA,Mobile/Embedded
AMD Geode NX 2400+,1,400,634,NA,NA,Mobile/Embedded
QCT APQ8064 MAKO,4,399,254,NA,NA,Mobile/Embedded
AMD Athlon X2 Dual Core 3250e,2,357,458,22,NA,Desktop
Intel 2.80GHz,2,341,456,NA,NA,Desktop
AMD Athlon TF-36,1,338,349,25,NA,Laptop
AMD Sempron M100,1,332,546,NA,NA,Laptop
ARM ARMv7 rev 5 (v7l) 4 Core 1200 MHz,4,325,232,NA,NA,Mobile/Embedded
Spreadtrum SC7731e,4,318,216,NA,NA,Mobile/Embedded
Intel Celeron 3.06GHz,1,307,544,NA,NA,Mobile/Embedded
AMD Z-01,2,305,294,NA,NA,Mobile/Embedded
AMD C-60,2,290,354,9,NA,Mobile/Embedded
AMD Athlon XP 3100+,1,282,431,NA,NA,Desktop
AMD Athlon XP 3200+,1,281,430,62,NA,Desktop
AMD Athlon XP 2900+,1,276,410,NA,NA,Desktop
AMD Athlon Neo MV-40,1,275,485,15,NA,Laptop
AMD Sempron 210U,1,267,299,15,NA,Mobile/Embedded
Intel Celeron 3.20GHz,1,267,599,NA,NA,Mobile/Embedded
AMD Athlon TF-20,1,265,454,15,NA,Laptop
Intel Celeron 3.33GHz,1,263,528,NA,NA,Mobile/Embedded
AMD Athlon XP 2800+,1,260,408,89,NA,Desktop
AMD Athlon XP 2700+,1,256,398,NA,NA,Desktop
AMD Athlon XP2400+,1,243,390,NA,NA,Desktop
AMD Athlon XP 2600+,1,242,380,NA,NA,Desktop
AMD Athlon XP 2400+,1,234,375,NA,NA,Desktop
AMD Athlon XP 2500+,1,231,353,NA,NA,Desktop
Intel Celeron 2.93GHz,1,230,396,NA,NA,Mobile/Embedded
Intel Celeron 2.53GHz,1,222,396,NA,NA,Mobile/Embedded
AMD Athlon XP 2200+,1,214,335,NA,NA,Desktop
AMD Athlon XP 2100+,1,210,327,NA,NA,Desktop
AMD Athlon XP 1900+,1,203,312,NA,NA,Desktop
AMD Athlon L110,1,197,223,13,NA,Laptop
AMD Athlon XP1600+,1,183,272,NA,NA,Desktop
Intel Celeron 2.26GHz,1,182,382,NA,NA,Mobile/Embedded
AMD Athlon XP 1600+,1,174,265,NA,NA,Desktop
AMD Athlon XP 1500+,1,167,251,NA,NA,Desktop
Intel Celeron 2.13GHz,1,166,361,NA,NA,Mobile/Embedded
Intel Celeron 2.50GHz,1,164,431,NA,NA,Mobile/Embedded
Intel Celeron 1200MHz,1,159,212,NA,NA,Mobile/Embedded
Intel Celeron 2.70GHz,1,159,386,NA,NA,Mobile/Embedded
Intel Atom N435 @ 1.33GHz,1,153,220,NA,NA,Mobile/Embedded
Intel Celeron 2.30GHz,1,148,364,NA,NA,Mobile/Embedded
Intel Celeron 2.40GHz,1,143,397,NA,NA,Mobile/Embedded
Intel Celeron 2.60GHz,1,143,353,NA,NA,Mobile/Embedded
Intel Celeron 1000MHz,1,139,174,NA,NA,Mobile/Embedded
Intel Celeron 2.20GHz,1,139,349,NA,NA,Mobile/Embedded
VIA Esther 1500MHz,1,135,112,NA,NA,Mobile/Embedded
Intel Celeron 2.66GHz,1,131,359,NA,NA,Mobile/Embedded
AMD Sempron 200U,1,125,311,8,NA,Mobile/Embedded
Intel Celeron 1100MHz,1,113,183,NA,NA,Mobile/Embedded
Intel Celeron 1.70GHz,1,101,190,NA,NA,Mobile/Embedded
VIA Nehemiah,1,101,75,NA,NA,Desktop
VIA Esther 1000MHz,1,95,82,NA,NA,Mobile/Embedded
