,CPU Name,Predicted CPU Mark,Actual CPU Mark,Accuracy (%)
136,Intel Xeon E-2288G @ 3.70GHz,16821.474,17444,73.85159010600707
137,[Dual CPU] Intel Xeon W5580 @ 3.20GHz,6358.8075,6384,73.85159010600707
138,Intel Celeron M 420 @ 1.60GHz,315.6255,139,73.85159010600707
139,Intel Core i7-1370P,19746.9665,20193,73.85159010600707
140,Intel Xeon 3.00GHz,480.0615,425,73.85159010600707
141,AMD Ryzen 7 PRO 6860Z,19877.7705,20863,73.85159010600707
142,Intel Core i7-8700B @ 3.20GHz,14121.439,11917,73.85159010600707
143,AMD Ryzen 7 7840H,26112.512,28391,73.85159010600707
144,[Dual CPU] AMD Opteron 2220,1635.5865,1533,73.85159010600707
145,Intel Xeon W-2225 @ 4.10GHz,9750.239,10539,73.85159010600707
146,[Dual CPU] Intel Xeon Platinum 8568Y+,125317.543,125432,73.85159010600707
147,Intel Core i3-3110M @ 2.40GHz,1635.7375,1634,73.85159010600707
148,Intel Xeon E5-1660 v2 @ 3.70GHz,10979.0985,10268,73.85159010600707
149,Intel Xeon E-2246G @ 3.60GHz,14639.982,13785,73.85159010600707
150,Intel Xeon E5-2648L v2 @ 1.90GHz,8100.3525,8828,73.85159010600707
151,AMD A6-5350M APU,1269.828,1232,73.85159010600707
152,Intel Core i3-11100HE @ 2.40GHz,15188.467,11289,73.85159010600707
153,[Dual CPU] Intel Xeon E5540 @ 2.53GHz,4567.883,4793,73.85159010600707
154,[Quad CPU] AMD Opteron 6278,13180.735,13733,73.85159010600707
155,Intel Xeon E3-1505M v6 @ 3.00GHz,8087.6205,7466,73.85159010600707
156,[Dual CPU] AMD EPYC 9474F,117531.5415,148891,73.85159010600707
157,AMD A10-9630P,3439.1995,2909,73.85159010600707
158,Intel Core i7-10875H @ 2.30GHz,17167.891,14907,73.85159010600707
159,Intel Core i3-550 @ 3.20GHz,1307.984,1608,73.85159010600707
160,[Dual CPU] Intel Xeon E5-2658 v4 @ 2.30GHz,28698.2625,27797,73.85159010600707
161,Intel Xeon Platinum 8176 @ 2.10GHz,20717.7875,23179,73.85159010600707
162,Intel Core i7-8665UE @ 1.70GHz,3285.268,5170,73.85159010600707
163,[Dual CPU] Intel Xeon Platinum 8256 @ 3.80GHz,14366.8875,16787,73.85159010600707
164,AMD EPYC 4584PX,48133.2165,62120,73.85159010600707
165,[Dual CPU] Intel Xeon E5-2650 v3 @ 2.30GHz,19478.2585,19743,73.85159010600707
166,Intel Celeron 440 @ 2.00GHz,509.917,368,73.85159010600707
167,Intel Pentium Gold G7400T,10020.3845,5737,73.85159010600707
168,AMD Opteron 4284,4624.655,4665,73.85159010600707
169,AMD Ryzen 5 PRO 7540U,18088.1745,18071,73.85159010600707
170,Intel Core i7-4810MQ @ 2.80GHz,5733.409,6062,73.85159010600707
171,AMD Athlon 64 X2 QL-65,650.441,637,73.85159010600707
172,Intel Pentium 6405U @ 2.40GHz,2641.134,2356,73.85159010600707
173,AMD A8-7600 APU,2866.7495,3215,73.85159010600707
174,Intel Core i5-8500 @ 3.00GHz,9481.64,9548,73.85159010600707
175,Intel Core i5-6400 @ 2.70GHz,5129.422,5164,73.85159010600707
176,Intel Celeron 807 @ 1.50GHz,443.9295,392,73.85159010600707
177,Intel Core i3-4360 @ 3.70GHz,4325.7635,3647,73.85159010600707
178,AMD A6-3420M APU,879.286,1294,73.85159010600707
179,AMD E2-3000 APU,577.466,726,73.85159010600707
180,[Dual CPU] Intel Xeon E7-8880 v4 @ 2.20GHz,32048.425,37875,73.85159010600707
181,AMD A4 PRO-3340B,1625.644,1645,73.85159010600707
182,Intel Celeron M 443 @ 1.20GHz,269.4555,125,73.85159010600707
183,[Dual CPU] Intel Xeon Gold 5318Y @ 2.10GHz,51580.761,56985,73.85159010600707
184,AMD A8-6600K APU,3113.959,3007,73.85159010600707
185,Intel Xeon 3050 @ 2.13GHz,663.6695,818,73.85159010600707
186,Intel Core i3-530 @ 2.93GHz,1633.651,1500,73.85159010600707
187,AMD FX-6330 Six-Core,3858.0895,4433,73.85159010600707
188,Intel Pentium G3258 @ 3.20GHz,2342.5625,2076,73.85159010600707
189,AMD E2-7110 APU,1037.5775,1515,73.85159010600707
190,AMD Turion X2 Dual-Core Mobile RM-76,786.1975,799,73.85159010600707
191,[Quad CPU] AMD Opteron 6378,10571.0835,13236,73.85159010600707
192,Intel Xeon X3480 @ 3.07GHz,3549.181,3273,73.85159010600707
193,Intel Core i7-4771 @ 3.50GHz,6904.885,7137,73.85159010600707
194,Intel Core i7-8565U @ 1.80GHz,6264.7545,6067,73.85159010600707
195,Intel Core m5-6Y57 @ 1.10GHz,2637.208,2352,73.85159010600707
196,[Dual CPU] Intel Xeon E5503 @ 2.00GHz,1131.544,1787,73.85159010600707
197,Intel Core i3-8100 @ 3.60GHz,6861.5535,6108,73.85159010600707
198,Intel Celeron 1020M @ 2.10GHz,1245.21,1275,73.85159010600707
199,[Dual CPU] Intel Xeon Bronze 3206R @ 1.90GHz,10416.3745,10797,73.85159010600707
200,Intel Xeon X5647 @ 2.93GHz,2975.9795,4441,73.85159010600707
201,AMD EPYC 8324P,56648.9285,57127,73.85159010600707
202,AMD Athlon X2 Dual Core L310,434.797,329,73.85159010600707
203,AMD Sempron 3850 APU,520.018,1150,73.85159010600707
204,Intel Atom C1110,6319.2535,3170,73.85159010600707
205,AMD Ryzen 3 PRO 5450U,10722.0135,11015,73.85159010600707
206,Intel Core M-5Y70 @ 1.10GHz,2316.284,1823,73.85159010600707
207,AMD EPYC 9754,98776.808,100460,73.85159010600707
208,[Dual CPU] Intel Xeon E7- 4850 @ 2.00GHz,3396.8805,9571,73.85159010600707
209,[Dual CPU] Intel Xeon Silver 4416+,69310.4645,64909,73.85159010600707
210,[Dual CPU] Intel Xeon E5-4669 v3 @ 2.10GHz,23412.7165,31494,73.85159010600707
211,[Dual CPU] Intel Xeon X5460 @ 3.16GHz,2995.809,5066,73.85159010600707
212,Intel Core i7-6700K @ 4.00GHz,6783.6035,8927,73.85159010600707
213,[Quad CPU] Intel Xeon Gold 5318H @ 2.50GHz,59144.979,70723,73.85159010600707
214,Intel Xeon W3550 @ 3.07GHz,3579.3115,3214,73.85159010600707
215,Intel Core i7-3770K @ 3.50GHz,6379.971,6462,73.85159010600707
216,Intel Xeon E3-1575M v5 @ 3.00GHz,8132.7615,8006,73.85159010600707
217,[Dual CPU] Intel Xeon E5-2450 v2 @ 2.50GHz,17005.94,16884,73.85159010600707
218,Intel Xeon Silver 4510,27124.368,34170,73.85159010600707
219,AMD E-350 APU,353.508,423,73.85159010600707
220,[Dual CPU] Intel Xeon E5-2650L v4 @ 1.70GHz,22139.3685,25440,73.85159010600707
221,Intel Pentium Silver N5020 @ 1.10GHz,2834.8935,3404,73.85159010600707
222,Intel Pentium 4415Y @ 1.60GHz,2255.4915,1581,73.85159010600707
223,Intel Core i7-3610QE @ 2.30GHz,3277.1335,5026,73.85159010600707
224,AMD Athlon X2 255,1052.6905,938,73.85159010600707
225,Intel Xeon E5-2403 v2 @ 1.80GHz,1895.418,2873,73.85159010600707
226,AMD EPYC 9184X,65848.2905,50344,73.85159010600707
227,Intel Core i5-2430M @ 2.40GHz,1941.176,2004,73.85159010600707
228,AMD PRO A12-8830B,2581.5195,2517,73.85159010600707
229,Intel Xeon E-2334 @ 3.40GHz,16466.061,13011,73.85159010600707
230,AMD EPYC 7742,65225.954,69663,73.85159010600707
231,Intel Core2 Duo E6700 @ 2.66GHz,973.243,990,73.85159010600707
232,Intel Xeon E5-4650L @ 2.60GHz,8240.5935,8533,73.85159010600707
233,Intel Xeon W-11155MLE @ 1.80GHz,6287.241,8502,73.85159010600707
234,AMD Ryzen 3 5300U,9465.7725,9680,73.85159010600707
235,Intel Core i3-10300 @ 3.70GHz,9520.639,9308,73.85159010600707
236,AMD Ryzen 7 7735H,22843.676,24025,73.85159010600707
237,AMD Ryzen 7 7840HS,29929.0685,28916,73.85159010600707
238,AMD A10-7890K,3415.3805,3519,73.85159010600707
239,Intel Core i5-10505 @ 3.20GHz,15256.5955,12156,73.85159010600707
240,[Dual CPU] Intel Xeon X5647 @ 2.93GHz,7519.4325,8369,73.85159010600707
241,Intel Core2 Duo E8500 @ 3.16GHz,1323.5055,1268,73.85159010600707
242,Intel Core i7-9700E @ 2.60GHz,11633.1525,12600,73.85159010600707
243,AMD Athlon 64 4000+,393.1635,340,73.85159010600707
244,Intel Core2 Duo E7200 @ 2.53GHz,1048.034,996,73.85159010600707
245,AMD EPYC 4124P,20162.9,18637,73.85159010600707
246,AMD Athlon II X2 250u,638.044,597,73.85159010600707
247,[Dual CPU] Intel Xeon E5-2650 v2 @ 2.60GHz,17286.2065,17389,73.85159010600707
248,AMD Athlon II N350 Dual-Core,956.4305,767,73.85159010600707
249,AMD Ryzen 5 PRO 2500U,6812.156,6638,73.85159010600707
250,AMD GX-222GC SOC,1171.21,1044,73.85159010600707
251,Intel Core i7-2700K @ 3.50GHz,5330.1595,5744,73.85159010600707
252,AMD Ryzen Threadripper 1950X,32159.533,27612,73.85159010600707
253,Intel Core i9-13900KS,60941.088,61686,73.85159010600707
254,Mobile Intel Pentium 4 3.06GHz,305.278,220,73.85159010600707
255,AMD Ryzen 5 8600G,25947.223,25285,73.85159010600707
256,Intel Core i7-7560U @ 2.40GHz,4847.3545,3780,73.85159010600707
257,Intel Xeon Platinum 8380 @ 2.30GHz,54394.7215,62318,73.85159010600707
258,AMD Opteron 180,1107.3165,746,73.85159010600707
259,[Quad CPU] Intel Xeon E5-4667 v4 @ 2.20GHz,43481.8615,53402,73.85159010600707
260,Intel Celeron G530T @ 2.00GHz,1070.12,1056,73.85159010600707
261,AMD Ryzen 5 3600XT,16843.648,18640,73.85159010600707
262,Intel Core Duo L2300 @ 1.50GHz,288.6185,387,73.85159010600707
263,Intel Core2 Duo T8300 @ 2.40GHz,982.986,896,73.85159010600707
264,AMD Turion X2 Dual Core Mobile RM-70,290.877,497,73.85159010600707
265,Intel Xeon Gold 6262 @ 1.90GHz,21362.1995,21823,73.85159010600707
266,[Dual CPU] Intel Xeon Platinum 8260M @ 2.30GHz,58026.473,55297,73.85159010600707
267,AMD Athlon Neo X2 Dual Core L325,499.742,556,73.85159010600707
268,[Quad CPU] Intel Xeon E5-4669 v3 @ 2.10GHz,26131.7065,41232,73.85159010600707
269,AMD Athlon PRO 300U,4780.9515,4080,73.85159010600707
270,Intel Core i5-4460T @ 1.90GHz,3770.9885,3647,73.85159010600707
271,Intel Xeon Gold 6246R @ 3.40GHz,30542.8765,30468,73.85159010600707
272,[Dual CPU] Intel Xeon Gold 6268CL @ 2.80GHz,61556.358,60687,73.85159010600707
273,Intel Core i5-4570TE @ 2.70GHz,2851.295,3074,73.85159010600707
274,AMD A6-5400K APU,1273.3475,1270,73.85159010600707
275,[Dual CPU] Intel Xeon Gold 6262 @ 1.90GHz,56583.5715,47488,73.85159010600707
276,AMD Turion 64 Mobile ML-30,254.3165,277,73.85159010600707
277,AMD Ryzen Threadripper PRO 7985WX,127480.1275,135597,73.85159010600707
278,Intel Xeon E5-4610 v3 @ 1.70GHz,6447.092,7229,73.85159010600707
279,AMD Ryzen 5 Pro 7535U,15961.1855,17547,73.85159010600707
280,Intel Xeon L3360 @ 2.83GHz,2064.068,2412,73.85159010600707
281,Intel Core i7-940 @ 2.93GHz,3064.273,2947,73.85159010600707
282,Intel Xeon Silver 4215 @ 2.50GHz,16228.3225,14439,73.85159010600707
283,AMD Turion II Dual-Core Mobile M540,979.117,912,73.85159010600707
284,Intel Xeon E5-2678 v3 @ 2.50GHz,13439.743,14712,73.85159010600707
285,Intel Xeon Silver 4215R @ 3.20GHz,13784.317,15004,73.85159010600707
286,[Dual CPU] AMD EPYC 7702,94019.838,94529,73.85159010600707
287,Intel Core i7-7700HQ @ 2.80GHz,5780.7005,6908,73.85159010600707
288,Intel Core i3-6100H @ 2.70GHz,4024.4235,3041,73.85159010600707
289,AMD Ryzen 7 5800U,18324.786,18424,73.85159010600707
290,Intel Xeon E-2378G @ 2.80GHz,20085.9785,21153,73.85159010600707
291,AMD Ryzen 5 3580U,7005.516,7271,73.85159010600707
292,Intel Celeron 215 @ 1.33GHz,371.126,174,73.85159010600707
293,Intel Xeon D-1540 @ 2.00GHz,5924.0415,10061,73.85159010600707
294,Intel Xeon E5-2448L v2 @ 1.80GHz,7609.564,6774,73.85159010600707
295,Intel Core i5-9600KF @ 3.70GHz,9360.197,10680,73.85159010600707
296,AMD A4-3310MX APU,805.8975,782,73.85159010600707
297,Dual-Core AMD Opteron 1220 SE,1160.397,748,73.85159010600707
298,AMD Opteron 150,281.055,393,73.85159010600707
299,Intel Core i7-2600K @ 3.40GHz,4988.08,5489,73.85159010600707
300,Intel U300,19191.14,8355,73.85159010600707
301,[Dual CPU] Intel Xeon Gold 6354 @ 3.00GHz,61456.205,64487,73.85159010600707
302,Intel Xeon E5-4610 @ 2.40GHz,6674.967,6460,73.85159010600707
303,Intel Core i3-8145UE @ 2.20GHz,9448.612,4099,73.85159010600707
304,Intel Xeon Gold 6538N,35085.4515,44895,73.85159010600707
305,Intel Pentium N3530 @ 2.16GHz,1690.996,1189,73.85159010600707
306,Intel Xeon Gold 6330N @ 2.20GHz,34317.4315,36360,73.85159010600707
307,AMD 3020e,3071.6465,2448,73.85159010600707
308,Intel Xeon D-2796TE @ 2.00GHz,28559.3415,26342,73.85159010600707
309,AMD Phenom II X4 900e,1620.442,1505,73.85159010600707
310,[Quad CPU] Intel Xeon X7550 @ 2.00GHz,13142.593,14723,73.85159010600707
311,AMD Ryzen 7 PRO 4750GE,22657.637,18465,73.85159010600707
312,[Dual CPU] Intel Xeon E5504 @ 2.00GHz,3003.2675,3305,73.85159010600707
313,Intel Core i9-7920X @ 2.90GHz,26768.1835,23680,73.85159010600707
314,Intel Xeon E5-1680 v3 @ 3.20GHz,11533.904,13108,73.85159010600707
315,AMD Opteron 6164 HE,1499.738,3478,73.85159010600707
316,Intel Xeon E5-4627 v2 @ 3.30GHz,8592.2455,9320,73.85159010600707
317,[Quad CPU] Intel Xeon E5-2420 @ 1.90GHz,2007.454,3065,73.85159010600707
318,AMD Athlon X4 860K,3187.482,3432,73.85159010600707
319,[Dual CPU] Intel Xeon Gold 6136 @ 3.00GHz,33711.2935,35966,73.85159010600707
320,Intel Core i5-10500 @ 3.10GHz,17488.1485,13318,73.85159010600707
321,Intel Xeon E-2278GEL @ 2.00GHz,13202.226,12024,73.85159010600707
322,Intel Celeron N2815 @ 1.86GHz,637.7055,495,73.85159010600707
323,Intel Xeon W-1290P @ 3.70GHz,21647.767,22435,73.85159010600707
324,Intel Core i3-4160T @ 3.10GHz,2993.8805,3112,73.85159010600707
325,AMD Athlon II X2 245,1047.512,1110,73.85159010600707
326,Intel Xeon E5-2620 @ 2.00GHz,4628.2885,5291,73.85159010600707
327,AMD Ryzen Threadripper 1920X,25115.676,23086,73.85159010600707
328,Intel Atom x5-E3930 @ 1.30GHz,1413.2525,928,73.85159010600707
329,Intel Xeon E5-2670 @ 2.60GHz,8153.295,8956,73.85159010600707
330,Intel Core i5-9500TE @ 2.20GHz,9739.1555,9861,73.85159010600707
331,AMD A10-6700 APU,2637.59,3104,73.85159010600707
332,Intel Core i7-4700MQ @ 2.40GHz,5070.7555,5345,73.85159010600707
333,Intel Core i9-10900KF @ 3.70GHz,23608.3435,22536,73.85159010600707
334,Intel Atom C2358 @ 1.74GHz,544.366,578,73.85159010600707
335,AMD Athlon 64 FX-57,946.3425,517,73.85159010600707
336,Intel Core i3-10300T @ 3.00GHz,8636.7695,7975,73.85159010600707
337,[Dual CPU] Intel Xeon X5672 @ 3.20GHz,10393.1975,8825,73.85159010600707
338,AMD Ryzen 3 5300G,16237.3345,12913,73.85159010600707
339,Intel Xeon Bronze 3104 @ 1.70GHz,4337.1365,4437,73.85159010600707
340,Intel Atom N550 @ 1.50GHz,238.222,283,73.85159010600707
341,[Dual CPU] AMD EPYC 9224,95132.937,92938,73.85159010600707
342,Intel Pentium D 915 @ 2.80GHz,401.8215,465,73.85159010600707
343,Intel Core i3-3240T @ 2.90GHz,2049.0135,2037,73.85159010600707
344,AMD Phenom II X4 B99,2875.5345,2536,73.85159010600707
345,AMD A8-7680,2762.688,3544,73.85159010600707
346,[Dual CPU] Intel Xeon Gold 5416S,80663.9,62325,73.85159010600707
347,Intel Core i7-5850HQ @ 2.70GHz,6259.791,6866,73.85159010600707
348,Intel Pentium 4405Y @ 1.50GHz,2451.446,1526,73.85159010600707
349,Intel Core2 Duo P9600 @ 2.53GHz,1426.791,1040,73.85159010600707
350,AMD A4-7300 APU,1597.161,1529,73.85159010600707
351,Intel Celeron B810 @ 1.60GHz,752.1145,775,73.85159010600707
352,AMD Turion X2 Dual Core L510,646.3385,603,73.85159010600707
353,AMD Athlon II X2 240e,1047.919,987,73.85159010600707
354,Intel Core i5-8279U @ 2.40GHz,9402.856,7465,73.85159010600707
355,Intel Core i7-4900MQ @ 2.80GHz,4666.928,6117,73.85159010600707
356,Intel Pentium D 950 @ 3.40GHz,691.17,681,73.85159010600707
357,[Dual CPU] Intel Xeon E5345 @ 2.33GHz,2660.567,3458,73.85159010600707
358,Intel Core2 Duo T9500 @ 2.60GHz,1198.16,1046,73.85159010600707
359,Intel Core i3-10100 @ 3.60GHz,9728.714,8651,73.85159010600707
360,[Dual CPU] AMD EPYC 7F32,44441.049,39712,73.85159010600707
