CPU Name,No. Sockets,Cores,CPU Mark,Thread Mark,TDP (W),Power Performance,Category
AMD Ryzen 3 4300GE,1,4,11211,2552,35,320.31,Desktop
AMD Ryzen 3 4300U,1,4,7441,2308,15,496.07,Laptop
AMD Ryzen 3 5300G,1,4,12913,3038,65,198.66,Desktop
AMD Ryzen 3 5300GE,1,4,13074,3098,35,373.54,Desktop
AMD Ryzen 3 5300U,1,4,9680,2349,15,645.33,Laptop
AMD Ryzen 3 5400U,1,4,11037,2738,15,735.8,Laptop
AMD Ryzen 3 5425U,1,4,11353,2915,15,756.87,Laptop
AMD Ryzen 3 7320C,1,4,8614,2436,15,574.27,Laptop
AMD Ryzen 3 7320U,1,4,8863,2386,15,590.87,Laptop
AMD Ryzen 3 7330U,1,4,10936,3018,15,729.07,Laptop
AMD Ryzen 3 7335U,1,4,12033,2919,28,429.75,"Desktop, Laptop"
AMD Ryzen 3 7440U,1,4,12991,2614,28,463.96,Laptop
AMD Ryzen 3 8300GE,1,4,13846,3837,35,395.6,Desktop
AMD Ryzen 3 8440U,1,4,12805,3648,28,457.32,"Desktop, Laptop"
AMD Ryzen 3 PRO 1200,1,4,6154,1914,65,94.68,Desktop
AMD Ryzen 3 PRO 1300,1,4,7234,2187,65,111.29,Desktop
AMD Ryzen 3 PRO 2100GE,1,2,4062,1809,35,116.06,Desktop
AMD Ryzen 3 PRO 2200G,1,4,6812,2066,65,104.8,Desktop
AMD Ryzen 3 PRO 2200GE,1,4,6398,2056,35,182.8,Desktop
AMD Ryzen 3 PRO 2300U,1,4,5795,1834,15,386.33,Laptop
AMD Ryzen 3 PRO 3200G,1,4,6991,2190,65,107.55,Desktop
AMD Ryzen 3 PRO 3200GE,1,4,6668,2123,35,190.51,Laptop
AMD Ryzen 3 PRO 3300U,1,4,5950,1931,15,396.67,Laptop
AMD Ryzen 3 PRO 4200G,1,4,11315,2564,65,174.08,Desktop
AMD Ryzen 3 PRO 4200GE,1,4,10930,2540,35,312.29,Laptop
AMD Ryzen 3 PRO 4350G,1,4,10921,2546,65,168.02,Desktop
AMD Ryzen 3 PRO 4350GE,1,4,10971,2528,35,313.46,Desktop
AMD Ryzen 3 PRO 4355GE,1,4,10559,2572,35,301.69,Desktop
AMD Ryzen 3 PRO 4450U,1,4,9979,2349,15,665.27,Laptop
AMD Ryzen 3 PRO 5350G,1,4,13851,3101,65,213.09,Desktop
AMD Ryzen 3 PRO 5350GE,1,4,12584,3088,35,359.54,Desktop
AMD Ryzen 3 PRO 5450U,1,4,11015,2732,15,734.33,Laptop
AMD Ryzen 3 PRO 5475U,1,4,11381,2905,15,758.73,Laptop
AMD Ryzen 3 PRO 7330U,1,4,12331,3108,15,822.07,Laptop
AMD Ryzen 3 PRO 7335U,1,4,12162,3101,30,405.4,"Desktop, Laptop"
AMD Ryzen 3 PRO 8300G,1,4,14605,3834,65,224.69,Desktop
AMD Ryzen 3 PRO 8300GE,1,4,14612,3861,35,417.49,Desktop
AMD Ryzen 5 1400,1,4,7753,1896,65,119.28,Desktop
AMD Ryzen 5 1500X,1,4,9102,2114,65,140.03,Desktop
AMD Ryzen 5 1600,1,6,12280,2066,65,188.92,Desktop
AMD Ryzen 5 1600X,1,6,13056,2198,95,137.43,Desktop
AMD Ryzen 5 2400G,1,4,8727,2147,65,134.26,Desktop
AMD Ryzen 5 2400GE,1,4,7521,2100,35,214.89,Desktop
AMD Ryzen 5 2500U,1,4,6539,1816,15,435.93,Laptop
AMD Ryzen 5 2500X,1,4,9469,2325,65,145.68,Desktop
AMD Ryzen 5 2600,1,6,13193,2245,65,202.97,Desktop
AMD Ryzen 5 2600H,1,4,7860,2075,45,174.67,Laptop
AMD Ryzen 5 2600X,1,6,13907,2383,95,146.39,Desktop
AMD Ryzen 5 3350G,1,4,8989,2263,65,138.29,Desktop
AMD Ryzen 5 3350GE,1,4,9343,2322,35,266.94,Desktop
AMD Ryzen 5 3400G,1,4,9261,2334,65,142.48,Desktop
AMD Ryzen 5 3400GE,1,4,8907,2295,35,254.49,Desktop
AMD Ryzen 5 3450U,1,4,6721,1905,15,448.07,Laptop
AMD Ryzen 5 3500,1,6,12788,2501,65,196.74,Desktop
AMD Ryzen 5 3500C,1,4,5682,1984,15,378.8,Laptop
AMD Ryzen 5 3500U,1,4,6943,1947,15,462.87,Laptop
AMD Ryzen 5 3500X,1,6,13161,2503,65,202.48,Desktop
AMD Ryzen 5 3550H,1,4,7765,2028,35,221.86,Laptop
AMD Ryzen 5 3550U,1,4,7681,2053,15,512.07,Laptop
AMD Ryzen 5 3580U,1,4,7271,1981,15,484.73,Laptop
AMD Ryzen 5 3600,1,6,17750,2567,65,273.08,Desktop
AMD Ryzen 5 3600X,1,6,18195,2653,95,191.53,Desktop
AMD Ryzen 5 3600XT,1,6,18640,2759,95,196.21,Desktop
AMD Ryzen 5 4400G,1,6,17160,2711,65,264,Desktop
AMD Ryzen 5 4500,1,6,16131,2596,65,248.17,Desktop
AMD Ryzen 5 4500U,1,6,10926,2434,15,728.4,Laptop
AMD Ryzen 5 4600G,1,6,16071,2658,65,247.25,Desktop
AMD Ryzen 5 4600GE,1,6,15816,2627,35,451.89,Desktop
AMD Ryzen 5 4600H,1,6,14434,2434,45,320.76,Laptop
AMD Ryzen 5 4600HS,1,6,14230,2398,35,406.57,Laptop
AMD Ryzen 5 4600U,1,6,13470,2438,15,898,Laptop
AMD Ryzen 5 5500,1,6,19406,3058,65,298.55,Desktop
AMD Ryzen 5 5500GT,1,6,20167,3206,65,310.26,Desktop
AMD Ryzen 5 5500H,1,4,11670,3021,45,259.33,Laptop
AMD Ryzen 5 5500U,1,6,13014,2439,15,867.6,Laptop
AMD Ryzen 5 5560U,1,6,15131,2832,15,1008.73,Laptop
AMD Ryzen 5 5600,1,6,21573,3258,65,331.89,Desktop
AMD Ryzen 5 5600G,1,6,19880,3190,65,305.85,Desktop
AMD Ryzen 5 5600GE,1,6,18732,3216,35,535.2,Desktop
AMD Ryzen 5 5600GT,1,6,20258,3355,65,311.66,Desktop
AMD Ryzen 5 5600H,1,6,16997,2948,45,377.71,Laptop
AMD Ryzen 5 5600U,1,6,15451,2918,15,1030.07,Laptop
AMD Ryzen 5 5600X,1,6,21887,3360,65,336.72,Desktop
AMD Ryzen 5 5600X3D,1,6,21982,3201,105,209.35,Desktop
AMD Ryzen 5 5625U,1,6,14934,2890,15,995.6,Laptop
AMD Ryzen 5 6600H,1,6,18710,3174,45,415.78,Laptop
AMD Ryzen 5 6600HS Creator Edition,1,6,18361,3125,35,524.6,Laptop
AMD Ryzen 5 6600U,1,6,16792,3195,25,671.68,Laptop
AMD Ryzen 5 7235HS,1,4,11054,2577,45,245.64,"Desktop, Laptop"
AMD Ryzen 5 7430U,1,6,15530,3000,15,1035.33,Laptop
AMD Ryzen 5 7500F,1,6,26946,3842,65,414.55,Desktop
AMD Ryzen 5 7520U,1,4,9254,2487,15,616.93,Laptop
AMD Ryzen 5 7530U,1,6,16075,3120,15,1071.67,Laptop
AMD Ryzen 5 7535HS,1,6,18459,3167,35,527.4,Laptop
AMD Ryzen 5 7535U,1,6,17029,3213,28,608.18,Laptop
AMD Ryzen 5 7540U,1,6,18855,3677,28,673.39,Laptop
AMD Ryzen 5 7600,1,6,27088,3909,65,416.74,Desktop
AMD Ryzen 5 7600X,1,6,28462,4145,105,271.07,Desktop
AMD Ryzen 5 7600X3D,1,6,26140,3633,65,402.15,Desktop
AMD Ryzen 5 7640HS,1,6,22841,3616,54,422.98,Laptop
AMD Ryzen 5 7640U,1,6,21171,3507,28,756.11,Laptop
AMD Ryzen 5 7645HX,1,6,26868,3915,55,488.51,Laptop
AMD Ryzen 5 8400F,1,6,23077,3548,65,355.03,Desktop
AMD Ryzen 5 8500G,1,6,21716,3916,65,334.09,Desktop
AMD Ryzen 5 8500GE,1,6,21042,3926,35,601.2,Desktop
AMD Ryzen 5 8540U,1,6,18276,3761,28,652.71,"Desktop, Laptop"
AMD Ryzen 5 8600G,1,6,25285,3881,65,389,Desktop
AMD Ryzen 5 8640HS,1,6,19512,3556,28,696.86,"Desktop, Laptop"
AMD Ryzen 5 8640U,1,6,20772,3483,28,741.86,"Desktop, Laptop"
AMD Ryzen 5 8645HS,1,6,22536,3695,45,500.8,"Desktop, Laptop"
AMD Ryzen 5 9600X,1,6,29886,4572,65,459.78,Desktop
AMD Ryzen 5 Microsoft Surface Edition,1,4,7243,1815,15,482.87,Laptop
AMD Ryzen 5 PRO 1500,1,4,9099,2129,65,139.98,Desktop
AMD Ryzen 5 PRO 1600,1,6,11240,1884,65,172.92,Desktop
AMD Ryzen 5 PRO 2400G,1,4,8506,2153,65,130.86,Desktop
AMD Ryzen 5 PRO 2400GE,1,4,7649,2121,35,218.54,Desktop
AMD Ryzen 5 PRO 2500U,1,4,6638,1791,15,442.53,Laptop
AMD Ryzen 5 PRO 2600,1,6,13509,2275,65,207.83,Desktop
AMD Ryzen 5 PRO 3350G,1,4,9282,2287,65,142.8,Desktop
AMD Ryzen 5 PRO 3350GE,1,4,9643,2340,35,275.51,Desktop
AMD Ryzen 5 PRO 3400G,1,4,9086,2304,65,139.78,Desktop
AMD Ryzen 5 PRO 3400GE,1,4,8285,2240,35,236.71,Desktop
AMD Ryzen 5 PRO 3500U,1,4,7009,1953,15,467.27,Laptop
AMD Ryzen 5 PRO 3600,1,6,17606,2528,65,270.86,Desktop
AMD Ryzen 5 PRO 4400GE,1,6,14795,2664,35,422.71,Laptop
AMD Ryzen 5 PRO 4500U,1,6,12117,2491,15,807.8,Laptop
AMD Ryzen 5 PRO 4650G,1,6,16170,2655,65,248.77,Desktop
AMD Ryzen 5 PRO 4650GE,1,6,15572,2617,35,444.91,Desktop
AMD Ryzen 5 PRO 4650U,1,6,12624,2419,15,841.6,Laptop
AMD Ryzen 5 PRO 4655G,1,6,16355,2696,65,251.62,Desktop
AMD Ryzen 5 PRO 4655GE,1,6,14436,2662,35,412.46,Desktop
AMD Ryzen 5 PRO 5650G,1,6,20785,3252,65,319.77,Desktop
AMD Ryzen 5 PRO 5650GE,1,6,18382,3182,35,525.2,Desktop
AMD Ryzen 5 PRO 5650U,1,6,14893,2931,15,992.87,Laptop
AMD Ryzen 5 PRO 5675U,1,6,14657,2962,15,977.13,Laptop
AMD Ryzen 5 PRO 6650H,1,6,18928,3214,45,420.62,Laptop
AMD Ryzen 5 PRO 6650U,1,6,16731,3191,28,597.54,Laptop
AMD Ryzen 5 PRO 7530U,1,6,15015,3025,15,1001,Laptop
AMD Ryzen 5 Pro 7535U,1,6,17547,3258,28,626.68,Laptop
AMD Ryzen 5 PRO 7540U,1,6,18071,3538,30,602.37,Laptop
AMD Ryzen 5 PRO 7640HS,1,6,22778,3685,54,421.81,Laptop
AMD Ryzen 5 PRO 7640U,1,6,21287,3726,28,760.25,"Desktop, Laptop"
AMD Ryzen 5 PRO 7645,1,6,27106,3901,65,417.02,Server
AMD Ryzen 5 PRO 8500G,1,6,22405,4008,65,344.69,Desktop
AMD Ryzen 5 PRO 8500GE,1,6,22235,3993,35,635.29,Desktop
AMD Ryzen 5 PRO 8540U,1,6,18409,3588,28,657.46,"Desktop, Laptop, Mobile/Embedded"
AMD Ryzen 5 PRO 8600G,1,6,25288,3872,65,389.05,Desktop
AMD Ryzen 5 PRO 8600GE,1,6,24262,3876,35,693.2,Desktop
AMD Ryzen 5 PRO 8640HS,1,6,22041,3735,28,787.18,"Desktop, Laptop, Server"
AMD Ryzen 7 1700,1,8,14820,2001,65,228,Desktop
AMD Ryzen 7 1700X,1,8,15666,2101,95,164.91,Desktop
AMD Ryzen 7 1800X,1,8,16360,2198,95,172.21,Desktop
AMD Ryzen 7 2700,1,8,15699,2179,65,241.52,Desktop
AMD Ryzen 7 2700E,1,8,14657,2410,45,325.71,Desktop
AMD Ryzen 7 2700U,1,4,6789,1809,15,452.6,Laptop
AMD Ryzen 7 2700X,1,8,17519,2421,105,166.85,Desktop
AMD Ryzen 7 2800H,1,4,8013,2173,45,178.07,Laptop
AMD Ryzen 7 3700C,1,4,6346,2267,15,423.07,"Laptop, Mobile/Embedded"
AMD Ryzen 7 3700U,1,4,7156,1976,15,477.07,Laptop
AMD Ryzen 7 3700X,1,8,22549,2660,65,346.91,Desktop
AMD Ryzen 7 3750H,1,4,8103,2080,35,231.51,Laptop
AMD Ryzen 7 3780U,1,4,6961,1937,15,464.07,Laptop
AMD Ryzen 7 3800X,1,8,23149,2717,105,220.47,Desktop
AMD Ryzen 7 3800XT,1,8,23607,2802,105,224.83,Desktop
AMD Ryzen 7 4700G,1,8,20155,2742,65,310.08,Desktop
AMD Ryzen 7 4700GE,1,8,19831,2681,35,566.6,Desktop
AMD Ryzen 7 4700U,1,8,13380,2523,15,892,Laptop
AMD Ryzen 7 4800H,1,8,18523,2615,45,411.62,Laptop
AMD Ryzen 7 4800HS,1,8,18352,2575,45,407.82,Laptop
AMD Ryzen 7 4800U,1,8,16692,2571,15,1112.8,Laptop
AMD Ryzen 7 4850U Mobile,1,8,15920,2654,15,1061.33,Laptop
AMD Ryzen 7 4980U Microsoft Surface Edition,1,8,17469,2752,15,1164.6,Laptop
AMD Ryzen 7 5700G,1,8,24554,3283,65,377.75,Desktop
AMD Ryzen 7 5700GE,1,8,22436,3352,35,641.03,Desktop
AMD Ryzen 7 5700U,1,8,15846,2591,15,1056.4,Laptop
AMD Ryzen 7 5700X,1,8,26669,3382,65,410.29,Desktop
AMD Ryzen 7 5700X3D,1,8,26290,2976,105,250.38,Desktop
AMD Ryzen 7 5800,1,8,25760,3389,65,396.31,Desktop
AMD Ryzen 7 5800H,1,8,21029,3045,45,467.31,Laptop
AMD Ryzen 7 5800HS,1,8,20087,3027,35,573.91,Laptop
AMD Ryzen 7 5800U,1,8,18424,3035,15,1228.27,Laptop
AMD Ryzen 7 5800X,1,8,27856,3445,105,265.3,Desktop
AMD Ryzen 7 5800X3D,1,8,28285,3231,105,269.38,Desktop
AMD Ryzen 7 5825U,1,8,18360,3055,15,1224,Laptop
AMD Ryzen 7 6800H,1,8,23437,3250,45,520.82,Laptop
AMD Ryzen 7 6800HS,1,8,23015,3221,35,657.57,Laptop
AMD Ryzen 7 6800HS Creator Edition,1,8,21761,3230,35,621.74,Laptop
AMD Ryzen 7 6800U,1,8,20625,3211,28,736.61,Laptop
AMD Ryzen 7 7435HS,1,8,24165,3230,45,537,"Desktop, Laptop"
AMD Ryzen 7 7700,1,8,34569,4058,65,531.83,Desktop
AMD Ryzen 7 7700X,1,8,36014,4202,105,342.99,Desktop
AMD Ryzen 7 7730U,1,8,18677,3064,15,1245.13,Laptop
AMD Ryzen 7 7735H,1,8,24025,3310,54,444.91,Laptop
AMD Ryzen 7 7735HS,1,8,24027,3352,54,444.94,Laptop
AMD Ryzen 7 7735U,1,8,21264,3276,28,759.43,Laptop
AMD Ryzen 7 7736U,1,8,22195,3338,28,792.68,Laptop
AMD Ryzen 7 7745HX,1,8,32669,3949,55,593.98,Laptop
AMD Ryzen 7 7800X3D,1,8,34261,3750,120,285.51,Desktop
AMD Ryzen 7 7840H,1,8,28391,3716,54,525.76,Laptop
AMD Ryzen 7 7840HS,1,8,28916,3783,54,535.48,Laptop
AMD Ryzen 7 7840S,1,8,24635,3680,54,456.2,Laptop
AMD Ryzen 7 7840U,1,8,24949,3595,30,831.63,Laptop
AMD Ryzen 7 8700F,1,8,30674,3884,65,471.91,Desktop
AMD Ryzen 7 8700G,1,8,31809,3942,65,489.37,Desktop
AMD Ryzen 7 8840HS,1,8,24603,3657,28,878.68,"Desktop, Laptop"
AMD Ryzen 7 8840U,1,8,23660,3681,28,845,"Desktop, Laptop"
AMD Ryzen 7 8845H,1,8,27805,3698,45,617.89,"Desktop, Laptop"
AMD Ryzen 7 8845HS,1,8,28757,3760,45,639.04,"Desktop, Laptop"
AMD Ryzen 7 9700X,1,8,37304,4573,65,573.91,Desktop
AMD Ryzen 7 PRO 1700,1,8,14658,2027,65,225.51,Desktop
AMD Ryzen 7 PRO 1700X,1,8,15624,2144,95,164.46,Desktop
AMD Ryzen 7 PRO 2700,1,8,15300,2186,65,235.38,Desktop
AMD Ryzen 7 PRO 2700U,1,4,7182,1953,15,478.8,Laptop
AMD Ryzen 7 PRO 2700X,1,8,16948,2267,105,161.41,Desktop
AMD Ryzen 7 PRO 3700,1,8,22898,2686,65,352.28,Desktop
AMD Ryzen 7 PRO 3700U,1,4,7462,2025,15,497.47,Laptop
AMD Ryzen 7 PRO 4700G,1,8,19786,2668,65,304.4,Desktop
AMD Ryzen 7 PRO 4750G,1,8,20470,2714,65,314.92,Desktop
AMD Ryzen 7 PRO 4750GE,1,8,18465,2685,35,527.57,Desktop
AMD Ryzen 7 PRO 4750U,1,8,15196,2507,15,1013.07,Laptop
AMD Ryzen 7 PRO 5750G,1,8,24421,3315,65,375.71,Desktop
AMD Ryzen 7 PRO 5750GE,1,8,21882,3303,35,625.2,Desktop
AMD Ryzen 7 PRO 5845,1,8,25961,3439,65,399.4,Desktop
AMD Ryzen 7 PRO 5850U,1,8,16996,2995,15,1133.07,Laptop
AMD Ryzen 7 PRO 5875U,1,8,16078,2866,15,1071.87,Laptop
AMD Ryzen 7 PRO 6850H,1,8,22960,3238,45,510.22,Laptop
AMD Ryzen 7 PRO 6850HS,1,8,22264,3291,35,636.11,Laptop
AMD Ryzen 7 PRO 6850U,1,8,20795,3233,28,742.68,Laptop
AMD Ryzen 7 PRO 6860Z,1,8,20863,3167,28,745.11,Laptop
AMD Ryzen 7 PRO 7730U,1,8,19045,3077,15,1269.67,Laptop
AMD Ryzen 7 Pro 7735U,1,8,19895,3219,28,710.54,Laptop
AMD Ryzen 7 PRO 7745,1,8,34652,4083,65,533.11,"Desktop, Server"
AMD Ryzen 7 PRO 7840HS,1,8,26632,3487,54,493.19,Laptop
AMD Ryzen 7 PRO 7840U,1,8,24911,3709,30,830.37,Laptop
AMD Ryzen 7 PRO 8700G,1,8,32070,3973,65,493.38,Desktop
AMD Ryzen 7 PRO 8700GE,1,8,30199,3974,35,862.83,Desktop
AMD Ryzen 7 PRO 8840HS,1,8,27366,3794,28,977.36,"Desktop, Laptop"
AMD Ryzen 7 PRO 8840U,1,8,24065,3651,28,859.46,"Desktop, Laptop, Server"
AMD Ryzen 7 PRO 8845HS,1,8,29329,3840,45,651.76,"Desktop, Laptop, Server"
AMD Ryzen 9 3900,1,12,30813,2623,65,474.05,Desktop
AMD Ryzen 9 3900X,1,12,32627,2706,105,310.73,Desktop
AMD Ryzen 9 3900XT,1,12,32678,2746,105,311.22,Desktop
AMD Ryzen 9 3950X,1,16,38759,2705,105,369.13,Desktop
AMD Ryzen 9 4900H,1,8,19161,2707,45,425.8,Laptop
AMD Ryzen 9 4900HS,1,8,18977,2599,35,542.2,Laptop
AMD Ryzen 9 5900,1,12,34400,3449,65,529.23,Desktop
AMD Ryzen 9 5900HS,1,8,21680,3164,35,619.43,Laptop
AMD Ryzen 9 5900HS Creator Edition,1,8,22138,3275,35,632.51,Laptop
AMD Ryzen 9 5900HX,1,8,22536,3194,45,500.8,Laptop
AMD Ryzen 9 5900X,1,12,39125,3469,105,372.62,Desktop
AMD Ryzen 9 5900XT,1,16,46110,3470,105,439.14,Desktop
AMD Ryzen 9 5950X,1,16,45632,3470,105,434.59,Desktop
[5-Way CPU] AMD Ryzen 9 5950X,5,16,13220,2972,105,125.9,Desktop
AMD Ryzen 9 5980HS,1,8,21318,3192,35,609.09,Laptop
AMD Ryzen 9 5980HX,1,8,23525,3343,45,522.78,Laptop
AMD Ryzen 9 6900HS,1,8,23618,3292,35,674.8,Laptop
AMD Ryzen 9 6900HS Creator Edition,1,8,21855,3327,35,624.43,Laptop
AMD Ryzen 9 6900HX,1,8,24809,3443,45,551.31,Laptop
AMD Ryzen 9 7845HX,1,12,45474,3960,55,826.8,Laptop
AMD Ryzen 9 7900,1,12,48855,4152,65,751.62,Desktop
AMD Ryzen 9 7900X,1,12,51752,4259,170,304.42,Desktop
AMD Ryzen 9 7900X3D,1,12,50349,4128,120,419.58,Desktop
AMD Ryzen 9 7940H,1,8,28608,3996,54,529.78,Laptop
AMD Ryzen 9 7940HS,1,8,30384,3902,54,562.67,Laptop
AMD Ryzen 9 7940HX,1,16,53809,3930,55,978.35,"Desktop, Laptop"
AMD Ryzen 9 7945HX,1,16,54817,4058,55,996.67,Laptop
AMD Ryzen 9 7945HX3D,1,16,57632,4108,55,1047.85,Laptop
AMD Ryzen 9 7950X,1,16,62742,4278,170,369.07,Desktop
AMD Ryzen 9 7950X3D,1,16,62468,4146,120,520.57,Desktop
AMD Ryzen 9 8945H,1,8,30800,3955,45,684.44,"Desktop, Laptop"
AMD Ryzen 9 8945HS,1,8,29414,3863,45,653.64,"Desktop, Laptop"
AMD Ryzen 9 9900X,1,12,53918,4659,120,449.32,Desktop
AMD Ryzen 9 9950X,1,16,66679,4747,170,392.23,Desktop
AMD Ryzen 9 PRO 3900,1,12,31609,2692,65,486.29,Desktop
AMD Ryzen 9 PRO 5945,1,12,34573,3497,65,531.89,Desktop
AMD Ryzen 9 PRO 6950H,1,8,22493,3209,45,499.84,Laptop
AMD Ryzen 9 PRO 6950HS,1,8,22697,3405,35,648.49,Laptop
AMD Ryzen 9 PRO 7940HS,1,8,28053,3730,45,623.4,Laptop
AMD Ryzen 9 PRO 7945,1,12,47847,4174,65,736.11,"Desktop, Server"
AMD Ryzen 9 PRO 8945HS,1,8,31160,3932,45,692.44,"Desktop, Laptop, Server"
AMD Ryzen AI 9 365,1,10,31399,4107,28,1121.39,"Desktop, Laptop"
AMD Ryzen AI 9 HX 370,1,12,36172,4086,28,1291.86,"Desktop, Laptop"
AMD Ryzen Embedded R1305G,1,2,2953,1587,8,369.12,"Laptop, Mobile/Embedded"
AMD Ryzen Embedded R1505G,1,2,3810,1828,15,254,"Laptop, Mobile/Embedded"
AMD Ryzen Embedded R1600,1,2,3365,1779,25,134.6,Mobile/Embedded
AMD Ryzen Embedded R1606G,1,2,4144,1894,15,276.27,"Desktop, Mobile/Embedded"
AMD Ryzen Embedded R2312,1,2,3865,1943,25,154.6,Mobile/Embedded
AMD Ryzen Embedded R2514,1,4,6998,1933,15,466.53,Mobile/Embedded
AMD Ryzen Embedded R2544,1,4,8486,2102,45,188.58,Mobile/Embedded
AMD Ryzen Embedded V1202B,1,2,3512,1624,15,234.13,"Laptop, Mobile/Embedded"
AMD Ryzen Embedded V1404I,1,4,6007,1621,15,400.47,"Desktop, Mobile/Embedded"
AMD Ryzen Embedded V1500B,1,4,4633,1211,16,289.56,Mobile/Embedded
AMD Ryzen Embedded V1605B,1,4,6677,1908,15,445.13,"Laptop, Mobile/Embedded"
AMD Ryzen Embedded V1756B,1,4,8291,2102,45,184.24,"Desktop, Mobile/Embedded"
AMD Ryzen Embedded V1807B,1,4,8553,2213,45,190.07,"Laptop, Mobile/Embedded"
AMD Ryzen Embedded V2516,1,6,13016,2439,15,867.73,Mobile/Embedded
AMD Ryzen Embedded V2718,1,8,16075,2240,15,1071.67,Mobile/Embedded
AMD Ryzen Embedded V2748,1,8,16706,2680,54,309.37,Mobile/Embedded
AMD Ryzen Embedded V3C18I,1,8,17053,2836,15,1136.87,Mobile/Embedded
AMD Ryzen Embedded V3C48,1,8,20203,2804,45,448.96,Mobile/Embedded
AMD Ryzen Threadripper 1900X,1,8,16802,2325,180,93.34,Desktop
AMD Ryzen Threadripper 1920,1,12,22066,2299,140,157.61,Desktop
AMD Ryzen Threadripper 1920X,1,12,23086,2316,180,128.26,Desktop
AMD Ryzen Threadripper 1950X,1,16,27612,2275,180,153.4,Desktop
AMD Ryzen Threadripper 2920X,1,12,25427,2490,180,141.26,Desktop
AMD Ryzen Threadripper 2950X,1,16,29442,2459,180,163.57,Desktop
AMD Ryzen Threadripper 2970WX,1,24,30656,2326,250,122.62,"Desktop, Server"
AMD Ryzen Threadripper 2990WX,1,32,32167,2279,250,128.67,"Desktop, Server"
AMD Ryzen Threadripper 2990X,1,32,25874,2312,250,103.5,Desktop
AMD Ryzen Threadripper 3960X,1,24,54877,2682,280,195.99,Desktop
AMD Ryzen Threadripper 3970X,1,32,63106,2666,280,225.38,Desktop
AMD Ryzen Threadripper 3990X,1,64,80693,2563,280,288.19,Desktop
AMD Ryzen Threadripper 7960X,1,24,83077,4085,350,237.36,Desktop
AMD Ryzen Threadripper 7970X,1,32,97864,4149,350,279.61,Desktop
AMD Ryzen Threadripper 7980X,1,64,134187,3961,350,383.39,Desktop
AMD Ryzen Threadripper PRO 3945WX,1,12,33542,2704,280,119.79,"Desktop, Server"
AMD Ryzen Threadripper PRO 3955WX,1,16,40291,2680,280,143.9,"Desktop, Server"
[Dual CPU] AMD Ryzen Threadripper PRO 3955WX,2,16,63885,2439,280,228.16,"Desktop, Server"
AMD Ryzen Threadripper PRO 3975WX,1,32,62545,2658,280,223.38,"Desktop, Server"
[Dual CPU] AMD Ryzen Threadripper PRO 3975WX,2,32,98811,2676,280,352.9,"Desktop, Server"
AMD Ryzen Threadripper PRO 3995WX,1,64,83697,2598,280,298.92,"Desktop, Server"
[Dual CPU] AMD Ryzen Threadripper PRO 3995WX,2,64,113693,2559,280,406.05,"Desktop, Server"
AMD Ryzen Threadripper PRO 5945WX,1,12,40579,3354,280,144.93,"Desktop, Server"
AMD Ryzen Threadripper PRO 5955WX,1,16,50032,3341,280,178.69,"Desktop, Server"
AMD Ryzen Threadripper PRO 5965WX,1,24,66732,3358,280,238.33,"Desktop, Server"
AMD Ryzen Threadripper PRO 5975WX,1,32,75609,3314,280,270.03,"Desktop, Server"
AMD Ryzen Threadripper PRO 5995WX,1,64,93192,3207,280,332.83,"Desktop, Server"
AMD Ryzen Threadripper PRO 7945WX,1,12,49599,4086,350,141.71,Desktop
AMD Ryzen Threadripper PRO 7955WX,1,16,59759,4078,350,170.74,Desktop
AMD Ryzen Threadripper PRO 7965WX,1,24,80867,3927,350,231.05,Desktop
AMD Ryzen Threadripper PRO 7975WX,1,32,95247,4065,350,272.13,Desktop
AMD Ryzen Threadripper PRO 7985WX,1,64,135597,3998,350,387.42,Desktop
AMD Ryzen Threadripper PRO 7995WX,1,96,154202,3948,350,440.58,Desktop
AMD Ryzen Z1,1,6,18757,3767,30,625.23,Mobile/Embedded
AMD Sempron 130,1,1,511,1059,45,11.36,Desktop
AMD Sempron 140,1,1,486,1037,45,10.8,Desktop
AMD Sempron 145,1,1,518,1015,45,11.51,Desktop
AMD Sempron 150,1,1,597,1117,45,13.27,Desktop
AMD Sempron 200U,1,1,125,311,8,15.62,Mobile/Embedded
AMD Sempron 210U,1,1,267,299,15,17.8,Mobile/Embedded
AMD Sempron 240,1,2,1278,1300,65,19.66,Desktop
AMD Sempron 2650 APU,1,2,551,477,25,22.04,Desktop
AMD Sempron 2800+,1,1,243,408,62,3.92,Desktop
AMD Sempron 3000+,1,1,286,462,62,4.61,Desktop
AMD Sempron 3100+,1,1,298,383,62,4.81,Desktop
AMD Sempron 3200+,1,1,251,456,62,4.05,Desktop
AMD Sempron 3300+,1,1,315,394,62,5.08,Desktop
AMD Sempron 3400+,1,1,292,346,62,4.71,Desktop
AMD Sempron 3500+,1,1,232,264,62,3.74,Desktop
AMD Sempron 3600+,1,1,364,377,62,5.87,Desktop
AMD Sempron 3800+,1,1,360,422,62,5.81,Desktop
AMD Sempron 3850 APU,1,4,1150,448,25,46,Desktop
AMD Sempron Dual Core 2100,1,2,533,596,65,8.2,Desktop
AMD Sempron Dual Core 2200,1,2,563,649,65,8.66,Desktop
AMD Sempron Dual Core 2300,1,2,555,697,65,8.54,Desktop
AMD Sempron LE-1100,1,1,315,509,45,7,Desktop
AMD Sempron LE-1150,1,1,251,477,45,5.58,Desktop
