CPU Name,No. Sockets,Cores,CPU Mark,Thread Mark,TDP (W),Power Performance,Category
AMD Phenom 9650 Quad-Core,1,4,1713,904,95,18.03,Desktop
AMD Phenom 9750 Quad-Core,1,4,1843,949,125,14.74,Desktop
AMD Phenom 9750B Quad-Core,1,4,1520,913,95,16,Desktop
AMD Phenom 9850 Quad-Core,1,4,1712,938,125,13.7,Desktop
AMD Phenom 9850B Quad-Core,1,4,1946,992,95,20.48,Desktop
AMD Phenom 9950 Quad-Core,1,4,1884,1027,125,15.07,Desktop
AMD Phenom FX-5000 Quad-Core,1,4,1599,826,65,24.6,Desktop
AMD Phenom FX-5200 Quad-Core,1,4,1699,919,65,26.14,Desktop
AMD Phenom II N620 Dual-Core,1,2,992,1092,35,28.34,Laptop
AMD Phenom II N640 Dual-Core,1,2,965,1039,35,27.57,Laptop
AMD Phenom II N660 Dual-Core,1,2,1083,1093,35,30.94,Laptop
AMD Phenom II N830 3+1,1,4,1768,935,35,50.51,Laptop
AMD Phenom II N830 Triple-Core,1,3,1222,823,35,34.91,Laptop
AMD Phenom II N850 Triple-Core,1,3,1298,895,35,37.09,Laptop
AMD Phenom II N870 Triple-Core,1,3,1324,900,35,37.83,Laptop
AMD Phenom II N930 Quad-Core,1,4,1584,817,35,45.26,Laptop
AMD Phenom II N950 Quad-Core,1,4,1587,859,35,45.34,Laptop
AMD Phenom II N970 Quad-Core,1,4,1687,904,35,48.2,Laptop
AMD Phenom II P650 Dual-Core,1,2,933,985,35,26.66,Laptop
AMD Phenom II P820 Triple-Core,1,3,1068,717,25,42.72,Laptop
AMD Phenom II P840 Triple-Core,1,3,1079,760,35,30.83,Laptop
AMD Phenom II P860 Triple-Core,1,3,1250,831,35,35.71,Laptop
AMD Phenom II P920 Quad-Core,1,4,1006,597,25,40.24,Laptop
AMD Phenom II P940 Quad-Core,1,4,1319,679,35,37.69,Laptop
AMD Phenom II P960 Quad-Core,1,4,1386,737,35,39.6,Laptop
AMD Phenom II X2 511,1,2,1265,1295,65,19.46,Desktop
AMD Phenom II X2 521,1,2,1374,1409,65,21.14,Desktop
AMD Phenom II X2 545,1,2,1222,1183,80,15.28,Desktop
AMD Phenom II X2 550,1,2,1158,1228,80,14.48,Desktop
AMD Phenom II X2 555,1,2,1296,1307,80,16.2,Desktop
AMD Phenom II X2 560,1,2,1375,1389,80,17.19,Desktop
AMD Phenom II X2 565,1,2,1442,1376,80,18.02,Desktop
AMD Phenom II X2 570,1,2,1395,1412,80,17.44,Desktop
AMD Phenom II X2 B53,1,2,1137,1161,80,14.21,Desktop
AMD Phenom II X2 B55,1,2,1183,1201,80,14.79,Desktop
AMD Phenom II X2 B57,1,2,1247,1273,80,15.59,Desktop
AMD Phenom II X2 B59,1,2,1431,1395,80,17.89,Desktop
AMD Phenom II X3 700e,1,3,1451,961,65,22.32,Desktop
AMD Phenom II X3 705e,1,3,1222,962,65,18.8,Desktop
AMD Phenom II X3 710,1,3,1551,1070,95,16.33,Desktop
AMD Phenom II X3 720,1,3,1575,1105,95,16.58,Desktop
AMD Phenom II X3 740,1,3,1424,982,95,14.99,Desktop
AMD Phenom II X3 B73,1,3,1538,1056,95,16.19,Desktop
AMD Phenom II X3 B75,1,3,1781,1256,95,18.75,Desktop
AMD Phenom II X3 B77,1,3,1844,1310,95,19.41,Desktop
AMD Phenom II X4 805,1,4,1959,1017,95,20.62,Desktop
AMD Phenom II X4 810,1,4,2003,1047,95,21.08,Desktop
AMD Phenom II X4 820,1,4,2081,1121,95,21.91,Desktop
AMD Phenom II X4 830,1,4,2070,1084,95,21.79,Desktop
AMD Phenom II X4 840,1,4,2401,1297,95,25.27,Desktop
AMD Phenom II X4 840T,1,4,2330,1264,95,24.53,Desktop
AMD Phenom II X4 850,1,4,2400,1230,95,25.26,Desktop
AMD Phenom II X4 900e,1,4,1505,917,65,23.15,Desktop
AMD Phenom II X4 905e,1,4,1936,1012,65,29.78,Desktop
AMD Phenom II X4 910,1,4,1776,988,95,18.69,Desktop
AMD Phenom II X4 910e,1,4,2131,1082,65,32.78,Desktop
AMD Phenom II X4 920,1,4,2156,1130,125,17.25,Desktop
AMD Phenom II X4 925,1,4,2271,1151,95,23.91,Desktop
AMD Phenom II X4 940,1,4,2345,1212,125,18.76,Desktop
AMD Phenom II X4 945,1,4,2385,1233,125,19.08,Desktop
AMD Phenom II X4 955,1,4,2510,1292,125,20.08,Desktop
